year	portion	word_count	total_count
1945	0	0	276
1946	0.001321003963011889	2	1514
1947	0.0012084592145015106	2	1655
1948	0.001488095238095238	3	2016
1949	0.0003996802557953637	1	2502
1950	0.0010818608005769925	3	2773
1951	0	0	2815
1952	0.00034317089910775565	1	2914
1953	0.0003297065611605671	1	3033
1954	0.0015351550506601166	5	3257
1955	0.0012980269989615785	5	3852
1956	0.0005212405525149857	2	3837
1957	0.0013024225058609013	5	3839
1958	0.0002674511901577962	1	3739
1959	0.0005242463958060288	2	3815
1960	0.0005298013245033113	2	3775
1961	0.00045320643553138455	2	4413
1962	0.0014398848092152627	6	4167
1963	0.0004363953742090334	2	4583
1964	0.0004004004004004004	2	4995
1965	0.0005591798695246971	3	5365
1966	0.001996370235934664	11	5510
1967	0.000709471443774388	4	5638
1968	0.0008358408559010365	5	5982
1969	0.0008629616845012082	5	5794
1970	0.0006726080376660501	4	5947
1971	0.00019968051118210862	1	5008
1972	0.00032357223750202233	2	6181
1973	0.0011824324324324325	7	5920
1974	0.0005719733079122975	3	5245
1975	0.0002014098690835851	1	4965
1976	0	0	5141
1977	0.0009260974254491572	5	5399
1978	0.0005425935973955507	3	5529
1979	0.00037885963250615644	2	5279
1980	0	0	5420
1981	0.000562957402889848	3	5329
1982	0.0009400263207369807	5	5319
1983	0.000946073793755913	5	5285
1984	0.0005634861006761833	3	5324
1985	0.00017497812773403323	1	5715
1986	0.0007713073659853452	4	5186
1987	0.0005485463521667581	3	5469
1988	0.0010895224260032686	6	5507
1989	0.0008716875871687587	5	5736
1990	0.0005263157894736842	3	5700
1991	0.0008487523340689187	5	5891
1992	0.0006691201070592171	4	5978
1993	0.0008390669575432119	5	5959
1994	0.0006634599436059048	4	6029
1995	0.0004669260700389105	3	6425
1996	0.0007567731194187983	5	6607
1997	0.0005556584552694943	3	5399
1998	0.00027570995312930797	1	3627
1999	0.0005659309564233164	4	7068
2000	0.0008511673151750973	7	8224
2001	0.0005761198329252485	4	6943
2002	0.0003835091083413231	2	5215
2003	0.0001389274798555154	1	7198
2004	0	0	6682
2005	0	0	6160
2006	0.0005763688760806917	2	3470
2007	0	0	2099
2008	0.00035932446999640676	4	11132
2009	0.0004171632896305125	7	16780
2010	0.0001951092611862643	3	15376
2011	0.0004084967320261438	6	14688
2012	0.00029959853795913474	5	16689
2013	0.00046882325363338024	9	19197
