year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0.0002621231979030144	1	3815
1960	0.00026490066225165563	1	3775
1961	0	0	4413
1962	0.00023998080153587713	1	4167
1963	0.0002181976871045167	1	4583
1964	0.0006006006006006006	3	4995
1965	0	0	5365
1966	0	0	5510
1967	0.000177367860943597	1	5638
1968	0.0005015045135406219	3	5982
1969	0	0	5794
1970	0.00033630401883302503	2	5947
1971	0.00019968051118210862	1	5008
1972	0.0004853583562530335	3	6181
1973	0.0005067567567567568	3	5920
1974	0	0	5245
1975	0	0	4965
1976	0.000583544057576347	3	5141
1977	0	0	5399
1978	0.0009043226623259179	5	5529
1979	0	0	5279
1980	0.0007380073800738007	4	5420
1981	0.0007506098705197974	4	5329
1982	0.001504042113179169	8	5319
1983	0.0003784295175023652	2	5285
1984	0.0003756574004507889	2	5324
1985	0.00017497812773403323	1	5715
1986	0.0005784805244890089	3	5186
1987	0.0009142439202779302	5	5469
1988	0.0016342836390049029	9	5507
1989	0.0005230125523012552	3	5736
1990	0.0005263157894736842	3	5700
1991	0	0	5891
1992	0.0010036801605888257	6	5978
1993	0.0006712535660345696	4	5959
1994	0.0001658649859014762	1	6029
1995	0.000933852140077821	6	6425
1996	0.0013621916149538368	9	6607
1997	0.0007408779403593258	4	5399
1998	0.00027570995312930797	1	3627
1999	0.0018392756083757782	13	7068
2000	0.0013375486381322957	11	8224
2001	0.001296269624081809	9	6943
2002	0.0009587727708533077	5	5215
2003	0.000972492358988608	7	7198
2004	0.00074827895839569	5	6682
2005	0.0006493506493506494	4	6160
2006	0.0005763688760806917	2	3470
2007	0.0014292520247737017	3	2099
2008	0.0004491555874955084	5	11132
2009	0.0008939213349225268	15	16780
2010	0.0009105098855359001	14	15376
2011	0.0008850762527233115	13	14688
2012	0.0009587153214692312	16	16689
2013	0.0012501953430223472	24	19197
