year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0.00034317089910775565	1	2914
1953	0	0	3033
1954	0	0	3257
1955	0.00025960539979231567	1	3852
1956	0.0005212405525149857	2	3837
1957	0.0005209690023443605	2	3839
1958	0	0	3739
1959	0.0002621231979030144	1	3815
1960	0.0005298013245033113	2	3775
1961	0	0	4413
1962	0	0	4167
1963	0.0002181976871045167	1	4583
1964	0.0004004004004004004	2	4995
1965	0.0005591798695246971	3	5365
1966	0	0	5510
1967	0.000532103582830791	3	5638
1968	0.0005015045135406219	3	5982
1969	0.0005177770107007249	3	5794
1970	0.0006726080376660501	4	5947
1971	0.0005990415335463259	3	5008
1972	0.0006471444750040447	4	6181
1973	0.00033783783783783786	2	5920
1974	0.0007626310772163965	4	5245
1975	0.0006042296072507553	3	4965
1976	0.000583544057576347	3	5141
1977	0.0011113169105389886	6	5399
1978	0.0005425935973955507	3	5529
1979	0.0009471490812653912	5	5279
1980	0.0009225092250922509	5	5420
1981	0.0015012197410395947	8	5329
1982	0.001692047377326565	9	5319
1983	0.0007568590350047304	4	5285
1984	0.0015026296018031556	8	5324
1985	0.0019247594050743656	11	5715
1986	0.0017354415734670266	9	5186
1987	0.0012799414883891023	7	5469
1988	0.002723806065008171	15	5507
1989	0.0024407252440725243	14	5736
1990	0.0010526315789473684	6	5700
1991	0.0015277542013240537	9	5891
1992	0.0018400802944128472	11	5978
1993	0.0011746937405604967	7	5959
1994	0.0011610549013103333	7	6029
1995	0.001245136186770428	8	6425
1996	0.0024216739821401544	16	6607
1997	0.0009260974254491572	5	5399
1998	0.0005514199062586159	2	3627
1999	0.0019807583474816073	14	7068
2000	0.001580739299610895	13	8224
2001	0.0017283594987757454	12	6943
2002	0.0015340364333652923	8	5215
2003	0.0018060572381217005	13	7198
2004	0.001197246333433104	8	6682
2005	0.000974025974025974	6	6160
2006	0.0008645533141210375	3	3470
2007	0.0019056693663649356	4	2099
2008	0.0006288178224937119	7	11132
2009	0.0008939213349225268	15	16780
2010	0.0009755463059313215	15	15376
2011	0.0017020697167755992	25	14688
2012	0.0010186350290610582	17	16689
2013	0.000781372089388967	15	19197
