year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0.0002002002002002002	1	4995
1965	0.0001863932898415657	1	5365
1966	0.00018148820326678765	1	5510
1967	0.000177367860943597	1	5638
1968	0.0006686726847208291	4	5982
1969	0.0005177770107007249	3	5794
1970	0.00033630401883302503	2	5947
1971	0.0005990415335463259	3	5008
1972	0	0	6181
1973	0.00016891891891891893	1	5920
1974	0.00019065776930409913	1	5245
1975	0.0002014098690835851	1	4965
1976	0	0	5141
1977	0	0	5399
1978	0	0	5529
1979	0.00018942981625307822	1	5279
1980	0.00036900369003690036	2	5420
1981	0.0003753049352598987	2	5329
1982	0.00018800526414739614	1	5319
1983	0.0001892147587511826	1	5285
1984	0	0	5324
1985	0.00017497812773403323	1	5715
1986	0.0007713073659853452	4	5186
1987	0.00018284878405558602	1	5469
1988	0.00018158707100054475	1	5507
1989	0	0	5736
1990	0.00017543859649122806	1	5700
1991	0.00033950093362756747	2	5891
1992	0.0006691201070592171	4	5978
1993	0	0	5959
1994	0.0001658649859014762	1	6029
1995	0.0007782101167315176	5	6425
1996	0.0003027092477675193	2	6607
1997	0.0007408779403593258	4	5399
1998	0	0	3627
1999	0.0002829654782116582	2	7068
2000	0.0006079766536964981	5	8224
2001	0.0005761198329252485	4	6943
2002	0.0005752636625119846	3	5215
2003	0.0008335648791330926	6	7198
2004	0.000299311583358276	2	6682
2005	0.0003246753246753247	2	6160
2006	0.0005763688760806917	2	3470
2007	0.0004764173415912339	1	2099
2008	0.0006288178224937119	7	11132
2009	0.0002979737783075089	5	16780
2010	0.0001951092611862643	3	15376
2011	0.0002042483660130719	3	14688
2012	0.00005991970759182695	1	16689
2013	0.0003125488357555868	6	19197
