year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0.0003996802557953637	1	2502
1950	0.0010818608005769925	3	2773
1951	0.0007104795737122557	2	2815
1952	0.002059025394646534	6	2914
1953	0.004286185295087373	13	3033
1954	0.0021492170709241634	7	3257
1955	0.003894080996884735	15	3852
1956	0.003388063591347407	13	3837
1957	0.0013024225058609013	5	3839
1958	0.0048141214228403315	18	3739
1959	0.0034076015727391874	13	3815
1960	0.00423841059602649	16	3775
1961	0.004758667573079538	21	4413
1962	0.007919366450683946	33	4167
1963	0.005673139864717434	26	4583
1964	0.005805805805805806	29	4995
1965	0.0065237651444548	35	5365
1966	0.005263157894736842	29	5510
1967	0.007626818020574672	43	5638
1968	0.008692744901370779	52	5982
1969	0.01173627890921643	68	5794
1970	0.010089120564990752	60	5947
1971	0.007787539936102236	39	5008
1972	0.008898236531305614	55	6181
1973	0.006081081081081081	36	5920
1974	0.008198284080076263	43	5245
1975	0.011681772406847936	58	4965
1976	0.012448939894962069	64	5141
1977	0.007779218373772921	42	5399
1978	0.007777174896002894	43	5529
1979	0.006251183936351582	33	5279
1980	0.008487084870848708	46	5420
1981	0.008632013510977669	46	5329
1982	0.00921225794322241	49	5319
1983	0.007379375591296121	39	5285
1984	0.009391435011269721	50	5324
1985	0.008748906386701663	50	5715
1986	0.01041264944080216	54	5186
1987	0.010239531907112819	56	5469
1988	0.00798983112402397	44	5507
1989	0.009762900976290097	56	5736
1990	0.009649122807017544	55	5700
1991	0.008317772873875404	49	5891
1992	0.008029441284710606	48	5978
1993	0.009733176707501259	58	5959
1994	0.007298059379664953	44	6029
1995	0.010272373540856031	66	6425
1996	0.007719085818071742	51	6607
1997	0.008890535284311909	48	5399
1998	0.009374138406396471	34	3627
1999	0.006508205998868138	46	7068
2000	0.010214007782101167	84	8224
2001	0.0069134379951029815	48	6943
2002	0.007094918504314478	37	5215
2003	0.006112809113642679	44	7198
2004	0.005686920083807243	38	6682
2005	0.0063311688311688315	39	6160
2006	0.006628242074927954	23	3470
2007	0.004764173415912339	10	2099
2008	0.005030542579949695	56	11132
2009	0.0054827175208581646	92	16780
2010	0.006568678459937565	101	15376
2011	0.00755718954248366	111	14688
2012	0.0076697225717538495	128	16689
2013	0.007553263530760014	145	19197
