year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0.00035523978685612787	1	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0.00018148820326678765	1	5510
1967	0	0	5638
1968	0	0	5982
1969	0	0	5794
1970	0	0	5947
1971	0	0	5008
1972	0	0	6181
1973	0	0	5920
1974	0.00019065776930409913	1	5245
1975	0.0002014098690835851	1	4965
1976	0	0	5141
1977	0.00018521948508983145	1	5399
1978	0	0	5529
1979	0.00037885963250615644	2	5279
1980	0.0014760147601476014	8	5420
1981	0	0	5329
1982	0	0	5319
1983	0.0007568590350047304	4	5285
1984	0	0	5324
1985	0.00034995625546806647	2	5715
1986	0.0007713073659853452	4	5186
1987	0.00018284878405558602	1	5469
1988	0.00018158707100054475	1	5507
1989	0.0005230125523012552	3	5736
1990	0	0	5700
1991	0.0005092514004413513	3	5891
1992	0	0	5978
1993	0.0003356267830172848	2	5959
1994	0	0	6029
1995	0.0001556420233463035	1	6425
1996	0.0003027092477675193	2	6607
1997	0.00018521948508983145	1	5399
1998	0.00027570995312930797	1	3627
1999	0	0	7068
2000	0.00048638132295719845	4	8224
2001	0.00043208987469393634	3	6943
2002	0	0	5215
2003	0.0002778549597110308	2	7198
2004	0.000299311583358276	2	6682
2005	0.00016233766233766234	1	6160
2006	0.00028818443804034583	1	3470
2007	0.0009528346831824678	2	2099
2008	0.00017966223499820338	2	11132
2009	0.00023837902264600716	4	16780
2010	0.0003251821019771072	5	15376
2011	0.0004084967320261438	6	14688
2012	0.0004793576607346156	8	16689
2013	0.0007292806167630359	14	19197
