year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0.000496031746031746	1	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0.00025960539979231567	1	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0.0002181976871045167	1	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0	0	5638
1968	0.00016716817118020728	1	5982
1969	0.00017259233690024162	1	5794
1970	0	0	5947
1971	0	0	5008
1972	0.00032357223750202233	2	6181
1973	0	0	5920
1974	0.00019065776930409913	1	5245
1975	0	0	4965
1976	0.00019451468585878233	1	5141
1977	0.0005556584552694943	3	5399
1978	0.0005425935973955507	3	5529
1979	0.00037885963250615644	2	5279
1980	0.00018450184501845018	1	5420
1981	0.0007506098705197974	4	5329
1982	0.0013160368490317729	7	5319
1983	0.0003784295175023652	2	5285
1984	0.0005634861006761833	3	5324
1985	0.0005249343832020997	3	5715
1986	0.0005784805244890089	3	5186
1987	0.00018284878405558602	1	5469
1988	0.0005447612130016343	3	5507
1989	0	0	5736
1990	0.00017543859649122806	1	5700
1991	0.0006790018672551349	4	5891
1992	0.00033456005352960856	2	5978
1993	0.0013425071320691392	8	5959
1994	0.001658649859014762	10	6029
1995	0.001245136186770428	8	6425
1996	0.0018162554866051157	12	6607
1997	0.0016669753658084831	9	5399
1998	0.0013785497656465398	5	3627
1999	0.003254102999434069	23	7068
2000	0.003404669260700389	28	8224
2001	0.002592539248163618	18	6943
2002	0.003835091083413231	20	5215
2003	0.0008335648791330926	6	7198
2004	0.0016462137084705178	11	6682
2005	0.0011363636363636363	7	6160
2006	0.001440922190201729	5	3470
2007	0.0009528346831824678	2	2099
2008	0.0006288178224937119	7	11132
2009	0.001132300357568534	19	16780
2010	0.0011706555671175858	18	15376
2011	0.0009531590413943355	14	14688
2012	0.0014380729822038468	24	16689
2013	0.000781372089388967	15	19197
