year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0	0	5638
1968	0.00016716817118020728	1	5982
1969	0.00017259233690024162	1	5794
1970	0	0	5947
1971	0	0	5008
1972	0	0	6181
1973	0	0	5920
1974	0.00019065776930409913	1	5245
1975	0.0002014098690835851	1	4965
1976	0	0	5141
1977	0	0	5399
1978	0	0	5529
1979	0.00018942981625307822	1	5279
1980	0.00018450184501845018	1	5420
1981	0	0	5329
1982	0	0	5319
1983	0.0001892147587511826	1	5285
1984	0.00018782870022539445	1	5324
1985	0	0	5715
1986	0.0003856536829926726	2	5186
1987	0.0005485463521667581	3	5469
1988	0	0	5507
1989	0.00017433751743375174	1	5736
1990	0	0	5700
1991	0.0005092514004413513	3	5891
1992	0.00033456005352960856	2	5978
1993	0	0	5959
1994	0.0001658649859014762	1	6029
1995	0.0001556420233463035	1	6425
1996	0	0	6607
1997	0.00018521948508983145	1	5399
1998	0.0005514199062586159	2	3627
1999	0.0001414827391058291	1	7068
2000	0	0	8224
2001	0.00014402995823131211	1	6943
2002	0	0	5215
2003	0.0002778549597110308	2	7198
2004	0.000149655791679138	1	6682
2005	0.0003246753246753247	2	6160
2006	0	0	3470
2007	0.0004764173415912339	1	2099
2008	0	0	11132
2009	0.00005959475566150179	1	16780
2010	0.00006503642039542144	1	15376
2011	0.0002042483660130719	3	14688
2012	0.0001198394151836539	2	16689
2013	0.0001562744178777934	3	19197
