year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0.00018148820326678765	1	5510
1967	0.000709471443774388	4	5638
1968	0	0	5982
1969	0.0006903693476009665	4	5794
1970	0.0010089120564990752	6	5947
1971	0.0013977635782747603	7	5008
1972	0.0004853583562530335	3	6181
1973	0.0006756756756756757	4	5920
1974	0.00038131553860819826	2	5245
1975	0.0016112789526686808	8	4965
1976	0.0013616028010114763	7	5141
1977	0.0003704389701796629	2	5399
1978	0.0016277807921866521	9	5529
1979	0.0017048683462777042	9	5279
1980	0.002214022140221402	12	5420
1981	0.0020641771439294425	11	5329
1982	0.0011280315848843769	6	5319
1983	0.006054872280037843	32	5285
1984	0.006198347107438017	33	5324
1985	0.006124234470691163	35	5715
1986	0.005784805244890089	30	5186
1987	0.006399707441945511	35	5469
1988	0.006900308698020701	38	5507
1989	0.006799163179916318	39	5736
1990	0.006842105263157895	39	5700
1991	0.006111016805296215	36	5891
1992	0.00819672131147541	49	5978
1993	0.00839066957543212	50	5959
1994	0.018079283463260907	109	6029
1995	0.022723735408560312	146	6425
1996	0.016649008627213562	110	6607
1997	0.016669753658084832	90	5399
1998	0.008822718500137855	32	3627
1999	0.012591963780418788	89	7068
2000	0.01799610894941634	148	8224
2001	0.015267175572519083	106	6943
2002	0.011697027804410355	61	5215
2003	0.013059183106418449	94	7198
2004	0.012720742292726728	85	6682
2005	0.008603896103896103	53	6160
2006	0.016138328530259365	56	3470
2007	0.009528346831824679	20	2099
2008	0.007096658282429034	79	11132
2009	0.014421930870083432	242	16780
2010	0.016259105098855357	250	15376
2011	0.017905773420479304	263	14688
2012	0.018934627599017317	316	16689
2013	0.01875293014533521	360	19197
