year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0.0007993605115907274	2	2502
1950	0.0003606202668589975	1	2773
1951	0.0007104795737122557	2	2815
1952	0.001029512697323267	3	2914
1953	0	0	3033
1954	0	0	3257
1955	0.00025960539979231567	1	3852
1956	0.0005212405525149857	2	3837
1957	0	0	3839
1958	0.0002674511901577962	1	3739
1959	0	0	3815
1960	0.0005298013245033113	2	3775
1961	0.00045320643553138455	2	4413
1962	0.00047996160307175426	2	4167
1963	0.0010909884355225835	5	4583
1964	0.0004004004004004004	2	4995
1965	0.0007455731593662628	4	5365
1966	0.0009074410163339383	5	5510
1967	0.000177367860943597	1	5638
1968	0.00033433634236041456	2	5982
1969	0.0008629616845012082	5	5794
1970	0.00033630401883302503	2	5947
1971	0.00039936102236421724	2	5008
1972	0.00032357223750202233	2	6181
1973	0.0006756756756756757	4	5920
1974	0.00019065776930409913	1	5245
1975	0.0006042296072507553	3	4965
1976	0.00019451468585878233	1	5141
1977	0.00018521948508983145	1	5399
1978	0.0005425935973955507	3	5529
1979	0.00018942981625307822	1	5279
1980	0.0007380073800738007	4	5420
1981	0.0003753049352598987	2	5329
1982	0.00037601052829479227	2	5319
1983	0.0005676442762535478	3	5285
1984	0.0007513148009015778	4	5324
1985	0.0005249343832020997	3	5715
1986	0.0009641342074816814	5	5186
1987	0.0014627902724446882	8	5469
1988	0.0009079353550027238	5	5507
1989	0.0015690376569037657	9	5736
1990	0.0005263157894736842	3	5700
1991	0.0006790018672551349	4	5891
1992	0.0010036801605888257	6	5978
1993	0.0015103205235777815	9	5959
1994	0.0031514347321280477	19	6029
1995	0.000933852140077821	6	6425
1996	0.0007567731194187983	5	6607
1997	0.002222633821077977	12	5399
1998	0.0024813895781637717	9	3627
1999	0.00311262026032824	22	7068
2000	0.003769455252918288	31	8224
2001	0.00273656920639493	19	6943
2002	0.0034515819750719078	18	5215
2003	0.0020839121978327314	15	7198
2004	0.0010475905417539658	7	6682
2005	0.001461038961038961	9	6160
2006	0.001729106628242075	6	3470
2007	0.0023820867079561697	5	2099
2008	0.0013474667624865254	15	11132
2009	0.002026221692491061	34	16780
2010	0.0016909469302809573	26	15376
2011	0.001974400871459695	29	14688
2012	0.0017975912277548086	30	16689
2013	0.002239933322915039	43	19197
