year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0.0003297065611605671	1	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0.00022660321776569228	1	4413
1962	0	0	4167
1963	0	0	4583
1964	0.0002002002002002002	1	4995
1965	0.0001863932898415657	1	5365
1966	0.0003629764065335753	2	5510
1967	0.000354735721887194	2	5638
1968	0.0008358408559010365	5	5982
1969	0.0005177770107007249	3	5794
1970	0.0010089120564990752	6	5947
1971	0.0017971246006389776	9	5008
1972	0.002103219543763145	13	6181
1973	0.002702702702702703	16	5920
1974	0.0034318398474737846	18	5245
1975	0.0036253776435045317	18	4965
1976	0.0015561174868702586	8	5141
1977	0.0012965363956288201	7	5399
1978	0.0019895098571170193	11	5529
1979	0.0020837279787838604	11	5279
1980	0.0012915129151291514	7	5420
1981	0.001688872208669544	9	5329
1982	0.0020680579056213573	11	5319
1983	0.0026490066225165563	14	5285
1984	0.0031930879038317055	17	5324
1985	0.0015748031496062992	9	5715
1986	0.0017354415734670266	9	5186
1987	0.0029255805448893763	16	5469
1988	0.002723806065008171	15	5507
1989	0.0017433751743375174	10	5736
1990	0.0015789473684210526	9	5700
1991	0.0008487523340689187	5	5891
1992	0.00234192037470726	14	5978
1993	0.0026850142641382784	16	5959
1994	0.0014927848731132857	9	6029
1995	0.0020233463035019454	13	6425
1996	0.0016649008627213561	11	6607
1997	0.0024078533061678087	13	5399
1998	0.0019299696719051558	7	3627
1999	0.00311262026032824	22	7068
2000	0.004255836575875486	35	8224
2001	0.0030246291228575545	21	6943
2002	0.0030680728667305847	16	5215
2003	0.003612114476243401	26	7198
2004	0.004040706375336726	27	6682
2005	0.004383116883116883	27	6160
2006	0.00547550432276657	19	3470
2007	0.006669842782277275	14	2099
2008	0.0026949335249730508	30	11132
2009	0.0029797377830750892	50	16780
2010	0.002081165452653486	32	15376
2011	0.0024509803921568627	36	14688
2012	0.0019773503505302894	33	16689
2013	0.0017711100692816585	34	19197
