year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0.000496031746031746	1	2016
1949	0	0	2502
1950	0.0003606202668589975	1	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0.00030703101013202335	1	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0.001337255950788981	5	3739
1959	0	0	3815
1960	0.0005298013245033113	2	3775
1961	0	0	4413
1962	0.00047996160307175426	2	4167
1963	0.0006545930613135501	3	4583
1964	0.0006006006006006006	3	4995
1965	0.00130475302889096	7	5365
1966	0.0007259528130671506	4	5510
1967	0.0008868393047179851	5	5638
1968	0.0013373453694416582	8	5982
1969	0.0022437003797031413	13	5794
1970	0.0006726080376660501	4	5947
1971	0.0017971246006389776	9	5008
1972	0.0030739362562692122	19	6181
1973	0.0035472972972972975	21	5920
1974	0.002669208770257388	14	5245
1975	0.002416918429003021	12	4965
1976	0.004084808403034429	21	5141
1977	0.0031487312465271347	17	5399
1978	0.0037981551817688553	21	5529
1979	0.007198333017616973	38	5279
1980	0.004059040590405904	22	5420
1981	0.005254269093638581	28	5329
1982	0.004324121075390111	23	5319
1983	0.004541154210028382	24	5285
1984	0.005259203606311044	28	5324
1985	0.003674540682414698	21	5715
1986	0.0055919784033937525	29	5186
1987	0.004388370817334065	24	5469
1988	0.0070818957690212455	39	5507
1989	0.004358437935843794	25	5736
1990	0.004736842105263158	27	5700
1991	0.0030555084026481073	18	5891
1992	0.005018400802944129	30	5978
1993	0.005705655311293841	34	5959
1994	0.005473544534748714	33	6029
1995	0.006536964980544747	42	6425
1996	0.006356894203117905	42	6607
1997	0.0066679014632339325	36	5399
1998	0.0044113592500689275	16	3627
1999	0.007357102433503113	52	7068
2000	0.008025291828793774	66	8224
2001	0.010082097076191848	70	6943
2002	0.008245445829338447	43	5215
2003	0.012503473186996388	90	7198
2004	0.007033822208919485	47	6682
2005	0.011363636363636364	70	6160
2006	0.0069164265129683	24	3470
2007	0.010004764173415913	21	2099
2008	0.005569529284944304	62	11132
2009	0.005244338498212158	88	16780
2010	0.006243496357960458	96	15376
2011	0.005855119825708061	86	14688
2012	0.006351489004733657	106	16689
2013	0.006823982913996979	131	19197
