year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0.0006042296072507553	1	1655
1948	0	0	2016
1949	0	0	2502
1950	0.0010818608005769925	3	2773
1951	0.0007104795737122557	2	2815
1952	0.001029512697323267	3	2914
1953	0	0	3033
1954	0	0	3257
1955	0.0010384215991692627	4	3852
1956	0.00026062027625749283	1	3837
1957	0.0005209690023443605	2	3839
1958	0.0002674511901577962	1	3739
1959	0.0002621231979030144	1	3815
1960	0.00026490066225165563	1	3775
1961	0.0006798096532970768	3	4413
1962	0.0011999040076793857	5	4167
1963	0.0002181976871045167	1	4583
1964	0.0006006006006006006	3	4995
1965	0.0011183597390493941	6	5365
1966	0.0009074410163339383	5	5510
1967	0.0019510464703795672	11	5638
1968	0.001671681711802073	10	5982
1969	0.0025888850535036242	15	5794
1970	0.0013452160753321001	8	5947
1971	0.0011980830670926517	6	5008
1972	0.001941433425012134	12	6181
1973	0.0016891891891891893	10	5920
1974	0.001525262154432793	8	5245
1975	0.0016112789526686808	8	4965
1976	0.0015561174868702586	8	5141
1977	0.0016669753658084831	9	5399
1978	0.0016277807921866521	9	5529
1979	0.0018942981625307824	10	5279
1980	0.002952029520295203	16	5420
1981	0.001125914805779696	6	5329
1982	0.0026320736980635457	14	5319
1983	0.0013245033112582781	7	5285
1984	0.0028174305033809165	15	5324
1985	0.0026246719160104987	15	5715
1986	0.0038565368299267257	20	5186
1987	0.0038398244651673065	21	5469
1988	0.001452696568004358	8	5507
1989	0.0029637377963737796	17	5736
1990	0.005614035087719298	32	5700
1991	0.0027160074690205397	16	5891
1992	0.0015055202408832385	9	5978
1993	0.003020641047155563	18	5959
1994	0.0034831647039310003	21	6029
1995	0.003735408560311284	24	6425
1996	0.003481156349326472	23	6607
1997	0.0025930727912576402	14	5399
1998	0.0027570995312930797	10	3627
1999	0.0029711375212224107	21	7068
2000	0.0038910505836575876	32	8224
2001	0.004176868788708051	29	6943
2002	0.005177372962607862	27	5215
2003	0.006946373992775771	50	7198
2004	0.0028434600419036215	19	6682
2005	0.0012987012987012987	8	6160
2006	0.002881844380403458	10	3470
2007	0.003811338732729871	8	2099
2008	0.0017966223499820337	20	11132
2009	0.0011918951132300357	20	16780
2010	0.0011706555671175858	18	15376
2011	0.0014978213507625272	22	14688
2012	0.0011384744442447122	19	16689
2013	0.0020315674324113144	39	19197
