year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0.00022660321776569228	1	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0.0007455731593662628	4	5365
1966	0.0003629764065335753	2	5510
1967	0.000354735721887194	2	5638
1968	0.00033433634236041456	2	5982
1969	0.00034518467380048324	2	5794
1970	0.0005044560282495376	3	5947
1971	0.0005990415335463259	3	5008
1972	0.0008089305937550558	5	6181
1973	0.00016891891891891893	1	5920
1974	0.00019065776930409913	1	5245
1975	0.0004028197381671702	2	4965
1976	0.00019451468585878233	1	5141
1977	0	0	5399
1978	0	0	5529
1979	0	0	5279
1980	0	0	5420
1981	0	0	5329
1982	0.00018800526414739614	1	5319
1983	0.0003784295175023652	2	5285
1984	0.0003756574004507889	2	5324
1985	0	0	5715
1986	0	0	5186
1987	0	0	5469
1988	0.00018158707100054475	1	5507
1989	0.00017433751743375174	1	5736
1990	0.00017543859649122806	1	5700
1991	0.00016975046681378373	1	5891
1992	0.00016728002676480428	1	5978
1993	0.0001678133915086424	1	5959
1994	0.0004975949577044286	3	6029
1995	0	0	6425
1996	0.00015135462388375965	1	6607
1997	0.0003704389701796629	2	5399
1998	0	0	3627
1999	0.0002829654782116582	2	7068
2000	0.00036478599221789884	3	8224
2001	0.00014402995823131211	1	6943
2002	0.0024928092042186003	13	5215
2003	0.0005557099194220616	4	7198
2004	0.0004489673750374139	3	6682
2005	0	0	6160
2006	0.00028818443804034583	1	3470
2007	0.0004764173415912339	1	2099
2008	0.00035932446999640676	4	11132
2009	0.0004171632896305125	7	16780
2010	0.0005853277835587929	9	15376
2011	0.00034041394335511985	5	14688
2012	0.0003595182455509617	6	16689
2013	0.00036464030838151797	7	19197
