year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0.0002621231979030144	1	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0	0	5638
1968	0	0	5982
1969	0	0	5794
1970	0	0	5947
1971	0	0	5008
1972	0.0006471444750040447	4	6181
1973	0	0	5920
1974	0.00019065776930409913	1	5245
1975	0.0002014098690835851	1	4965
1976	0	0	5141
1977	0	0	5399
1978	0	0	5529
1979	0	0	5279
1980	0	0	5420
1981	0.000562957402889848	3	5329
1982	0	0	5319
1983	0.0001892147587511826	1	5285
1984	0.00018782870022539445	1	5324
1985	0	0	5715
1986	0.0005784805244890089	3	5186
1987	0	0	5469
1988	0	0	5507
1989	0.000697350069735007	4	5736
1990	0.0010526315789473684	6	5700
1991	0.0005092514004413513	3	5891
1992	0.0013382402141184342	8	5978
1993	0.0006712535660345696	4	5959
1994	0	0	6029
1995	0.0004669260700389105	3	6425
1996	0.0013621916149538368	9	6607
1997	0	0	5399
1998	0	0	3627
1999	0.0001414827391058291	1	7068
2000	0.0017023346303501946	14	8224
2001	0.00043208987469393634	3	6943
2002	0.0005752636625119846	3	5215
2003	0.0012503473186996387	9	7198
2004	0.000149655791679138	1	6682
2005	0.0003246753246753247	2	6160
2006	0.0008645533141210375	3	3470
2007	0	0	2099
2008	0.00008983111749910169	1	11132
2009	0.00023837902264600716	4	16780
2010	0.0001951092611862643	3	15376
2011	0.0002723311546840959	4	14688
2012	0.00041943795314278864	7	16689
2013	0.00046882325363338024	9	19197
