year	portion	word_count	total_count
1945	0	0	276
1946	0.0006605019815059445	1	1514
1947	0	0	1655
1948	0.000496031746031746	1	2016
1949	0	0	2502
1950	0	0	2773
1951	0.0010657193605683837	3	2815
1952	0.0024021962937542897	7	2914
1953	0.003626772172766238	11	3033
1954	0.0012281240405280934	4	3257
1955	0.0010384215991692627	4	3852
1956	0.0018243419338024498	7	3837
1957	0.00026048450117218026	1	3839
1958	0.0005349023803155924	2	3739
1959	0.0005242463958060288	2	3815
1960	0.0007947019867549669	3	3775
1961	0.0029458418309539994	13	4413
1962	0.001919846412287017	8	4167
1963	0.0013091861226271003	6	4583
1964	0.0016016016016016017	8	4995
1965	0.001863932898415657	10	5365
1966	0.001996370235934664	11	5510
1967	0.0026605179141539555	15	5638
1968	0.0025075225677031092	15	5982
1969	0.002761477390403866	16	5794
1970	0.004203800235412813	25	5947
1971	0.003194888178913738	16	5008
1972	0.0024267917812651673	15	6181
1973	0.0011824324324324325	7	5920
1974	0.0017159199237368923	9	5245
1975	0.0034239677744209466	17	4965
1976	0.0019451468585878235	10	5141
1977	0.0035191702167067978	19	5399
1978	0.0028938325194429373	16	5529
1979	0.003788596325061565	20	5279
1980	0.0036900369003690036	20	5420
1981	0.005254269093638581	28	5329
1982	0.003008084226358338	16	5319
1983	0.0035950804162724692	19	5285
1984	0.005634861006761833	30	5324
1985	0.004899387576552931	28	5715
1986	0.004435017354415735	23	5186
1987	0.006765405010056683	37	5469
1988	0.004721263846014164	26	5507
1989	0.005055788005578801	29	5736
1990	0.004736842105263158	27	5700
1991	0.004413512137158377	26	5891
1992	0.00468384074941452	28	5978
1993	0.005034401745259272	30	5959
1994	0.005971139492453143	36	6029
1995	0.0056031128404669265	36	6425
1996	0.00438928409262903	29	6607
1997	0.008334876829042416	45	5399
1998	0.007168458781362007	26	3627
1999	0.007640067911714771	54	7068
2000	0.008633268482490273	71	8224
2001	0.007633587786259542	53	6943
2002	0.008245445829338447	43	5215
2003	0.007641011392053348	55	7198
2004	0.006135887458844657	41	6682
2005	0.005681818181818182	35	6160
2006	0.00547550432276657	19	3470
2007	0.0028585040495474035	6	2099
2008	0.003503413582464966	39	11132
2009	0.004588796185935638	77	16780
2010	0.004422476586888657	68	15376
2011	0.004357298474945534	64	14688
2012	0.00491341602252981	82	16689
2013	0.004479866645830078	86	19197
