year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0.00026062027625749283	1	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0.0002181976871045167	1	4583
1964	0.0002002002002002002	1	4995
1965	0.0003727865796831314	2	5365
1966	0.00018148820326678765	1	5510
1967	0.000177367860943597	1	5638
1968	0.00033433634236041456	2	5982
1969	0	0	5794
1970	0	0	5947
1971	0	0	5008
1972	0	0	6181
1973	0.00016891891891891893	1	5920
1974	0	0	5245
1975	0	0	4965
1976	0	0	5141
1977	0.0003704389701796629	2	5399
1978	0.00018086453246518358	1	5529
1979	0.00018942981625307822	1	5279
1980	0	0	5420
1981	0.00018765246762994934	1	5329
1982	0	0	5319
1983	0.0001892147587511826	1	5285
1984	0.0011269722013523666	6	5324
1985	0.0012248468941382328	7	5715
1986	0.0003856536829926726	2	5186
1987	0.00036569756811117204	2	5469
1988	0.00018158707100054475	1	5507
1989	0.00017433751743375174	1	5736
1990	0.0003508771929824561	2	5700
1991	0.0005092514004413513	3	5891
1992	0.00033456005352960856	2	5978
1993	0.0006712535660345696	4	5959
1994	0.0009951899154088573	6	6029
1995	0.0004669260700389105	3	6425
1996	0.0009081277433025579	6	6607
1997	0.0016669753658084831	9	5399
1998	0.0016542597187758478	6	3627
1999	0.0018392756083757782	13	7068
2000	0.001580739299610895	13	8224
2001	0.0020164194152383695	14	6943
2002	0.0015340364333652923	8	5215
2003	0.0022228396776882466	16	7198
2004	0.0008979347500748278	6	6682
2005	0.0011363636363636363	7	6160
2006	0.001729106628242075	6	3470
2007	0.0004764173415912339	1	2099
2008	0.0009881422924901185	11	11132
2009	0.0006555423122765197	11	16780
2010	0.00045525494276795007	7	15376
2011	0.0007489106753812636	11	14688
2012	0.0007190364911019234	12	16689
2013	0.0006771891441371047	13	19197
