year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0.0006042296072507553	1	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0.00035523978685612787	1	2815
1952	0.0006863417982155113	2	2914
1953	0.0003297065611605671	1	3033
1954	0.00030703101013202335	1	3257
1955	0.00025960539979231567	1	3852
1956	0.00026062027625749283	1	3837
1957	0.0005209690023443605	2	3839
1958	0.0008023535704733886	3	3739
1959	0.0005242463958060288	2	3815
1960	0.0007947019867549669	3	3775
1961	0.0011330160888284614	5	4413
1962	0.00047996160307175426	2	4167
1963	0.0004363953742090334	2	4583
1964	0	0	4995
1965	0.0007455731593662628	4	5365
1966	0.00018148820326678765	1	5510
1967	0.000532103582830791	3	5638
1968	0.00016716817118020728	1	5982
1969	0.00034518467380048324	2	5794
1970	0.00016815200941651252	1	5947
1971	0.00039936102236421724	2	5008
1972	0.00016178611875101117	1	6181
1973	0.0005067567567567568	3	5920
1974	0.00019065776930409913	1	5245
1975	0.0006042296072507553	3	4965
1976	0.00019451468585878233	1	5141
1977	0	0	5399
1978	0.00036172906493036716	2	5529
1979	0.00018942981625307822	1	5279
1980	0.0007380073800738007	4	5420
1981	0.0003753049352598987	2	5329
1982	0.00037601052829479227	2	5319
1983	0.0007568590350047304	4	5285
1984	0.0005634861006761833	3	5324
1985	0.0008748906386701663	5	5715
1986	0.0003856536829926726	2	5186
1987	0.0005485463521667581	3	5469
1988	0.0003631741420010895	2	5507
1989	0.0010460251046025104	6	5736
1990	0.0007017543859649122	4	5700
1991	0.0006790018672551349	4	5891
1992	0.00016728002676480428	1	5978
1993	0.0010068803490518544	6	5959
1994	0.0001658649859014762	1	6029
1995	0.0007782101167315176	5	6425
1996	0.0004540638716512789	3	6607
1997	0.0003704389701796629	2	5399
1998	0.0008271298593879239	3	3627
1999	0.0002829654782116582	2	7068
2000	0.0009727626459143969	8	8224
2001	0.00014402995823131211	1	6943
2002	0.00019175455417066154	1	5215
2003	0.0002778549597110308	2	7198
2004	0.000598623166716552	4	6682
2005	0.00016233766233766234	1	6160
2006	0	0	3470
2007	0	0	2099
2008	0.00017966223499820338	2	11132
2009	0.0002979737783075089	5	16780
2010	0.00026014568158168577	4	15376
2011	0.0010212418300653595	15	14688
2012	0.00029959853795913474	5	16689
2013	0.00020836589050372454	4	19197
