year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0.0001863932898415657	1	5365
1966	0	0	5510
1967	0	0	5638
1968	0	0	5982
1969	0	0	5794
1970	0.00016815200941651252	1	5947
1971	0.00019968051118210862	1	5008
1972	0.00032357223750202233	2	6181
1973	0.00016891891891891893	1	5920
1974	0.00038131553860819826	2	5245
1975	0.0012084592145015106	6	4965
1976	0.00038902937171756465	2	5141
1977	0.0007408779403593258	4	5399
1978	0.0005425935973955507	3	5529
1979	0.0007577192650123129	4	5279
1980	0.0009225092250922509	5	5420
1981	0.0007506098705197974	4	5329
1982	0.0011280315848843769	6	5319
1983	0.0017029328287606433	9	5285
1984	0.0009391435011269722	5	5324
1985	0.0015748031496062992	9	5715
1986	0.001349787890474354	7	5186
1987	0.0023770341927226183	13	5469
1988	0.0034501543490103505	19	5507
1989	0.003312412831241283	19	5736
1990	0.002456140350877193	14	5700
1991	0.0027160074690205397	16	5891
1992	0.004349280695884911	26	5978
1993	0.003020641047155563	18	5959
1994	0.0029855697462265714	18	6029
1995	0.0035797665369649806	23	6425
1996	0.002875737853791433	19	6607
1997	0.0027782922763474717	15	5399
1998	0.0024813895781637717	9	3627
1999	0.0019807583474816073	14	7068
2000	0.0023103112840466926	19	8224
2001	0.0031686590810888664	22	6943
2002	0.0026845637583892616	14	5215
2003	0.0018060572381217005	13	7198
2004	0.0020951810835079317	14	6682
2005	0.0016233766233766235	10	6160
2006	0.003170028818443804	11	3470
2007	0.0033349213911386373	7	2099
2008	0.0022457779374775422	25	11132
2009	0.0021454112038140644	36	16780
2010	0.0022112382934443287	34	15376
2011	0.0025190631808278867	37	14688
2012	0.002336868596081251	39	16689
2013	0.002604573631296557	50	19197
