year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0.0011999040076793857	5	4167
1963	0.0004363953742090334	2	4583
1964	0	0	4995
1965	0.0001863932898415657	1	5365
1966	0.00018148820326678765	1	5510
1967	0.000177367860943597	1	5638
1968	0.00033433634236041456	2	5982
1969	0.0008629616845012082	5	5794
1970	0.00033630401883302503	2	5947
1971	0.0007987220447284345	4	5008
1972	0.0011325028312570782	7	6181
1973	0.0013513513513513514	8	5920
1974	0.00019065776930409913	1	5245
1975	0.0006042296072507553	3	4965
1976	0.0009725734292939117	5	5141
1977	0.0003704389701796629	2	5399
1978	0.00018086453246518358	1	5529
1979	0.00018942981625307822	1	5279
1980	0.0009225092250922509	5	5420
1981	0.000562957402889848	3	5329
1982	0.00037601052829479227	2	5319
1983	0.0005676442762535478	3	5285
1984	0.0005634861006761833	3	5324
1985	0.0008748906386701663	5	5715
1986	0.0005784805244890089	3	5186
1987	0.00018284878405558602	1	5469
1988	0.00018158707100054475	1	5507
1989	0.00017433751743375174	1	5736
1990	0.0007017543859649122	4	5700
1991	0.0005092514004413513	3	5891
1992	0.00016728002676480428	1	5978
1993	0.0006712535660345696	4	5959
1994	0.0003317299718029524	2	6029
1995	0.0001556420233463035	1	6425
1996	0.0003027092477675193	2	6607
1997	0.0007408779403593258	4	5399
1998	0	0	3627
1999	0.00042444821731748726	3	7068
2000	0.00036478599221789884	3	8224
2001	0.0007201497911565605	5	6943
2002	0.0003835091083413231	2	5215
2003	0.0008335648791330926	6	7198
2004	0.0004489673750374139	3	6682
2005	0	0	6160
2006	0.0008645533141210375	3	3470
2007	0	0	2099
2008	0.00017966223499820338	2	11132
2009	0.0003575685339690107	6	16780
2010	0.0001951092611862643	3	15376
2011	0.00047657952069716776	7	14688
2012	0.0002396788303673078	4	16689
2013	0.0003125488357555868	6	19197
