year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0.000721240533717995	2	2773
1951	0.00035523978685612787	1	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0.0006798096532970768	3	4413
1962	0.0007199424046076314	3	4167
1963	0.0006545930613135501	3	4583
1964	0.001001001001001001	5	4995
1965	0.0011183597390493941	6	5365
1966	0.001088929219600726	6	5510
1967	0.0008868393047179851	5	5638
1968	0.0006686726847208291	4	5982
1969	0.00034518467380048324	2	5794
1970	0.00033630401883302503	2	5947
1971	0.001597444089456869	8	5008
1972	0.0004853583562530335	3	6181
1973	0.0006756756756756757	4	5920
1974	0.0007626310772163965	4	5245
1975	0.0004028197381671702	2	4965
1976	0.00038902937171756465	2	5141
1977	0.0005556584552694943	3	5399
1978	0.00036172906493036716	2	5529
1979	0.00018942981625307822	1	5279
1980	0.0009225092250922509	5	5420
1981	0.000562957402889848	3	5329
1982	0.0005640157924421884	3	5319
1983	0	0	5285
1984	0.0011269722013523666	6	5324
1985	0.0006999125109361329	4	5715
1986	0.0001928268414963363	1	5186
1987	0.00036569756811117204	2	5469
1988	0.0012711094970038134	7	5507
1989	0.001394700139470014	8	5736
1990	0.0008771929824561404	5	5700
1991	0.0005092514004413513	3	5891
1992	0.00033456005352960856	2	5978
1993	0.0006712535660345696	4	5959
1994	0.0004975949577044286	3	6029
1995	0.000311284046692607	2	6425
1996	0.0012108369910700772	8	6607
1997	0.0003704389701796629	2	5399
1998	0.00027570995312930797	1	3627
1999	0.0005659309564233164	4	7068
2000	0.00012159533073929961	1	8224
2001	0.00028805991646262423	2	6943
2002	0.0007670182166826462	4	5215
2003	0	0	7198
2004	0.000299311583358276	2	6682
2005	0.0003246753246753247	2	6160
2006	0.0008645533141210375	3	3470
2007	0.0004764173415912339	1	2099
2008	0.00017966223499820338	2	11132
2009	0.0002979737783075089	5	16780
2010	0.0011056191467221643	17	15376
2011	0.0014297385620915032	21	14688
2012	0.001318233567020193	22	16689
2013	0.0006250976715111736	12	19197
