year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0.0010384215991692627	4	3852
1956	0	0	3837
1957	0.0007814535035165407	3	3839
1958	0.0005349023803155924	2	3739
1959	0.0015727391874180866	6	3815
1960	0.00026490066225165563	1	3775
1961	0.0011330160888284614	5	4413
1962	0.0007199424046076314	3	4167
1963	0.00196377918394065	9	4583
1964	0.0002002002002002002	1	4995
1965	0.0003727865796831314	2	5365
1966	0	0	5510
1967	0.000177367860943597	1	5638
1968	0.0008358408559010365	5	5982
1969	0.00017259233690024162	1	5794
1970	0.00033630401883302503	2	5947
1971	0.000998402555910543	5	5008
1972	0.00032357223750202233	2	6181
1973	0	0	5920
1974	0.0009532888465204957	5	5245
1975	0.0006042296072507553	3	4965
1976	0.00019451468585878233	1	5141
1977	0.00018521948508983145	1	5399
1978	0.0009043226623259179	5	5529
1979	0.00037885963250615644	2	5279
1980	0	0	5420
1981	0.00018765246762994934	1	5329
1982	0.00018800526414739614	1	5319
1983	0	0	5285
1984	0	0	5324
1985	0.00017497812773403323	1	5715
1986	0.0001928268414963363	1	5186
1987	0.00036569756811117204	2	5469
1988	0	0	5507
1989	0.0003486750348675035	2	5736
1990	0	0	5700
1991	0.00033950093362756747	2	5891
1992	0.00016728002676480428	1	5978
1993	0	0	5959
1994	0	0	6029
1995	0	0	6425
1996	0	0	6607
1997	0	0	5399
1998	0	0	3627
1999	0	0	7068
2000	0.00024319066147859923	2	8224
2001	0.00014402995823131211	1	6943
2002	0.00019175455417066154	1	5215
2003	0.0001389274798555154	1	7198
2004	0.000299311583358276	2	6682
2005	0	0	6160
2006	0	0	3470
2007	0	0	2099
2008	0	0	11132
2009	0	0	16780
2010	0	0	15376
2011	0	0	14688
2012	0.0001198394151836539	2	16689
2013	0.00010418294525186227	2	19197
