year	portion	word_count	total_count
1945	0.19927536231884058	55	276
1946	0.18758256274768825	284	1514
1947	0.1673716012084592	277	1655
1948	0.15178571428571427	306	2016
1949	0.14308553157474022	358	2502
1950	0.1276595744680851	354	2773
1951	0.1289520426287744	363	2815
1952	0.16163349347975292	471	2914
1953	0.16122650840751732	489	3033
1954	0.14983113294442738	488	3257
1955	0.1342159916926272	517	3852
1956	0.13578316393015377	521	3837
1957	0.1252930450638187	481	3839
1958	0.11393420700722118	426	3739
1959	0.11716906946264745	447	3815
1960	0.11602649006622516	438	3775
1961	0.12349875368230229	545	4413
1962	0.13150947924166068	548	4167
1963	0.12895483307876937	591	4583
1964	0.13973973973973974	698	4995
1965	0.12991612301957128	697	5365
1966	0.13938294010889293	768	5510
1967	0.1253990776871231	707	5638
1968	0.128217987295219	767	5982
1969	0.12323092854677252	714	5794
1970	0.11030771817723221	656	5947
1971	0.10403354632587859	521	5008
1972	0.10160168257563501	628	6181
1973	0.10270270270270271	608	5920
1974	0.10905624404194471	572	5245
1975	0.11117824773413898	552	4965
1976	0.12137716397588018	624	5141
1977	0.11946656788294129	645	5399
1978	0.12280701754385964	679	5529
1979	0.12748626633832166	673	5279
1980	0.12933579335793358	701	5420
1981	0.12310001876524676	656	5329
1982	0.13573980071442002	722	5319
1983	0.13812677388836328	730	5285
1984	0.15120210368144252	805	5324
1985	0.14225721784776904	813	5715
1986	0.1504049363671423	780	5186
1987	0.15487292009508136	847	5469
1988	0.15271472671145814	841	5507
1989	0.1574267782426778	903	5736
1990	0.14666666666666667	836	5700
1991	0.15005941266338482	884	5891
1992	0.13499498159919707	807	5978
1993	0.13995636851820775	834	5959
1994	0.1353458284956046	816	6029
1995	0.11377431906614786	731	6425
1996	0.10927803844407447	722	6607
1997	0.10390813113539545	561	5399
1998	0.083264405845051	302	3627
1999	0.08389926428975665	593	7068
2000	0.0941147859922179	774	8224
2001	0.09333141293389025	648	6943
2002	0.09760306807286673	509	5215
2003	0.0891914420672409	642	7198
2004	0.09129003292427416	610	6682
2005	0.08652597402597402	533	6160
2006	0.09135446685878963	317	3470
2007	0.10242972844211529	215	2099
2008	0.07707509881422925	858	11132
2009	0.10077473182359953	1691	16780
2010	0.10906607700312175	1677	15376
2011	0.10886437908496732	1599	14688
2012	0.10707651746659476	1787	16689
2013	0.09881752357139137	1897	19197
