year	portion	word_count	total_count
1945	0.018115942028985508	5	276
1946	0.0066050198150594455	10	1514
1947	0.006042296072507553	10	1655
1948	0.009424603174603174	19	2016
1949	0.013189448441247002	33	2502
1950	0.011179228272628922	31	2773
1951	0.009591474245115453	27	2815
1952	0.01029512697323267	30	2914
1953	0.014507088691064951	44	3033
1954	0.010746085354620816	35	3257
1955	0.00960539979231568	37	3852
1956	0.011206671879072191	43	3837
1957	0.012242771555092472	47	3839
1958	0.00775608451457609	29	3739
1959	0.011533420707732634	44	3815
1960	0.011920529801324504	45	3775
1961	0.018128257421255383	80	4413
1962	0.016318694504439644	68	4167
1963	0.012655465852061967	58	4583
1964	0.013813813813813814	69	4995
1965	0.0190121155638397	102	5365
1966	0.015970961887477313	88	5510
1967	0.02075203973040085	117	5638
1968	0.01354062186559679	81	5982
1969	0.024508111839834312	142	5794
1970	0.015638136875735665	93	5947
1971	0.019768370607028754	99	5008
1972	0.018605403656366284	115	6181
1973	0.019256756756756758	114	5920
1974	0.014489990467111535	76	5245
1975	0.024974823766364552	124	4965
1976	0.01750632172729041	90	5141
1977	0.02167067975551028	117	5399
1978	0.013926568999819136	77	5529
1979	0.02045842015533245	108	5279
1980	0.01734317343173432	94	5420
1981	0.01989116156877463	106	5329
1982	0.021620605376950555	115	5319
1983	0.019867549668874173	105	5285
1984	0.018031555221637866	96	5324
1985	0.021172353455818024	121	5715
1986	0.018511376783648285	96	5186
1987	0.019747668678003292	108	5469
1988	0.023424732159070275	129	5507
1989	0.021966527196652718	126	5736
1990	0.018245614035087718	104	5700
1991	0.020709556951281616	122	5891
1992	0.02074272331883573	124	5978
1993	0.017116965933881522	102	5959
1994	0.019903798308177144	120	6029
1995	0.021167315175097276	136	6425
1996	0.02209777508702891	146	6607
1997	0.02037414335988146	110	5399
1998	0.019851116625310174	72	3627
1999	0.017543859649122806	124	7068
2000	0.02833171206225681	233	8224
2001	0.026213452398098806	182	6943
2002	0.026845637583892617	140	5215
2003	0.019449847179772158	140	7198
2004	0.018706973959892247	125	6682
2005	0.016233766233766232	100	6160
2006	0.01988472622478386	69	3470
2007	0.01715102429728442	36	2099
2008	0.019493352497305067	217	11132
2009	0.030214541120381407	507	16780
2010	0.03316857440166493	510	15376
2011	0.027913943355119826	410	14688
2012	0.031098328240158186	519	16689
2013	0.026722925457102673	513	19197
