year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0.0003996802557953637	1	2502
1950	0	0	2773
1951	0	0	2815
1952	0.00034317089910775565	1	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0.0002621231979030144	1	3815
1960	0.00026490066225165563	1	3775
1961	0	0	4413
1962	0.00023998080153587713	1	4167
1963	0.0002181976871045167	1	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0	0	5638
1968	0	0	5982
1969	0	0	5794
1970	0	0	5947
1971	0	0	5008
1972	0	0	6181
1973	0	0	5920
1974	0	0	5245
1975	0	0	4965
1976	0	0	5141
1977	0.00018521948508983145	1	5399
1978	0	0	5529
1979	0	0	5279
1980	0.00036900369003690036	2	5420
1981	0.00018765246762994934	1	5329
1982	0.00018800526414739614	1	5319
1983	0.000946073793755913	5	5285
1984	0.0003756574004507889	2	5324
1985	0.0006999125109361329	4	5715
1986	0.0003856536829926726	2	5186
1987	0	0	5469
1988	0.0005447612130016343	3	5507
1989	0	0	5736
1990	0.0007017543859649122	4	5700
1991	0.0005092514004413513	3	5891
1992	0.0006691201070592171	4	5978
1993	0.0011746937405604967	7	5959
1994	0.0014927848731132857	9	6029
1995	0.000622568093385214	4	6425
1996	0.0003027092477675193	2	6607
1997	0.00018521948508983145	1	5399
1998	0.0005514199062586159	2	3627
1999	0.0001414827391058291	1	7068
2000	0.00036478599221789884	3	8224
2001	0.00014402995823131211	1	6943
2002	0.0003835091083413231	2	5215
2003	0.0004167824395665463	3	7198
2004	0.0010475905417539658	7	6682
2005	0.000487012987012987	3	6160
2006	0.0011527377521613833	4	3470
2007	0	0	2099
2008	0.0004491555874955084	5	11132
2009	0.0005363528009535161	9	16780
2010	0.0006503642039542144	10	15376
2011	0.00047657952069716776	7	14688
2012	0.0005991970759182695	10	16689
2013	0.0004167317810074491	8	19197
