year	portion	word_count	total_count
1945	0.07971014492753623	22	276
1946	0.052840158520475564	80	1514
1947	0.03867069486404834	64	1655
1948	0.037698412698412696	76	2016
1949	0.03317346123101519	83	2502
1950	0.030652722683014784	85	2773
1951	0.04298401420959148	121	2815
1952	0.03740562800274537	109	2914
1953	0.03956478733926805	120	3033
1954	0.040221062327295054	131	3257
1955	0.02699896157840083	104	3852
1956	0.04691164972634871	180	3837
1957	0.03151862464183381	121	3839
1958	0.026477667825621824	99	3739
1959	0.025950196592398427	99	3815
1960	0.03205298013245033	121	3775
1961	0.029685021527305688	131	4413
1962	0.032397408207343416	135	4167
1963	0.03251145537857299	149	4583
1964	0.03403403403403404	170	4995
1965	0.033364398881640264	179	5365
1966	0.03012704174228675	166	5510
1967	0.03600567577155019	203	5638
1968	0.03577398863256436	214	5982
1969	0.03348291335864688	194	5794
1970	0.034807465949218096	207	5947
1971	0.041932907348242815	210	5008
1972	0.033004368225206276	204	6181
1973	0.03310810810810811	196	5920
1974	0.025738798856053385	135	5245
1975	0.025377643504531724	126	4965
1976	0.02898268819295857	149	5141
1977	0.028709020188923875	155	5399
1978	0.030385241454150842	168	5529
1979	0.027088463724190187	143	5279
1980	0.027121771217712178	147	5420
1981	0.03659223118784012	195	5329
1982	0.020116563263771387	107	5319
1983	0.028003784295175024	148	5285
1984	0.037753568745304285	201	5324
1985	0.02484689413823272	142	5715
1986	0.03008098727342846	156	5186
1987	0.033461327482172246	183	5469
1988	0.0345015434901035	190	5507
1989	0.039574616457461645	227	5736
1990	0.035789473684210524	204	5700
1991	0.03683585129859107	217	5891
1992	0.02977584476413516	178	5978
1993	0.03289142473569391	196	5959
1994	0.03516337701111295	212	6029
1995	0.027704280155642025	178	6425
1996	0.0258816406841229	171	6607
1997	0.023522874606408593	127	5399
1998	0.015439757375241246	56	3627
1999	0.01881720430107527	133	7068
2000	0.020549610894941634	169	8224
2001	0.02102837390177157	146	6943
2002	0.020134228187919462	105	5215
2003	0.017782717421505972	128	7198
2004	0.017958695001496557	120	6682
2005	0.020616883116883117	127	6160
2006	0.02190201729106628	76	3470
2007	0.014292520247737018	30	2099
2008	0.01536112109234639	171	11132
2009	0.021156138259833136	355	16780
2010	0.026079604578563995	401	15376
2011	0.01974400871459695	290	14688
2012	0.017436634909221642	291	16689
2013	0.023076522373287493	443	19197
