year	portion	word_count	total_count
1945	0	0	276
1946	0.0019815059445178335	3	1514
1947	0.0018126888217522659	3	1655
1948	0.006944444444444444	14	2016
1949	0.005995203836930456	15	2502
1950	0.00721240533717995	20	2773
1951	0.00497335701598579	14	2815
1952	0.004804392587508579	14	2914
1953	0.007583250906693043	23	3033
1954	0.004298434141848327	14	3257
1955	0.005711318795430945	22	3852
1956	0.0036486838676048996	14	3837
1957	0.0057306590257879654	22	3839
1958	0.00561647499331372	21	3739
1959	0.005242463958060288	20	3815
1960	0.005562913907284768	21	3775
1961	0.005438477226376614	24	4413
1962	0.007439404847612191	31	4167
1963	0.005454942177612917	25	4583
1964	0.00880880880880881	44	4995
1965	0.006710158434296365	36	5365
1966	0.008166969147005444	45	5510
1967	0.0058531394111387015	33	5638
1968	0.004847876964226012	29	5982
1969	0.007939247497411116	46	5794
1970	0.01126618463090634	67	5947
1971	0.01577476038338658	79	5008
1972	0.010839669956317749	67	6181
1973	0.011486486486486487	68	5920
1974	0.008198284080076263	43	5245
1975	0.007049345417925478	35	4965
1976	0.009531219607080334	49	5141
1977	0.010927949620300055	59	5399
1978	0.010490142882980648	58	5529
1979	0.01060806971017238	56	5279
1980	0.008302583025830259	45	5420
1981	0.007506098705197973	40	5329
1982	0.006580184245158865	35	5319
1983	0.008325449385052034	44	5285
1984	0.0101427498121713	54	5324
1985	0.010673665791776027	61	5715
1986	0.009641342074816815	50	5186
1987	0.01334796123605778	73	5469
1988	0.012892682041038678	71	5507
1989	0.010634588563458856	61	5736
1990	0.011052631578947368	63	5700
1991	0.008996774741130538	53	5891
1992	0.010873201739712278	65	5978
1993	0.009061923141466689	54	5959
1994	0.009454304196384144	57	6029
1995	0.01198443579766537	77	6425
1996	0.00892992280914182	59	6607
1997	0.011668827560659381	63	5399
1998	0.006341328921974083	23	3627
1999	0.01230899830220713	87	7068
2000	0.010335603112840467	85	8224
2001	0.010370156992654473	72	6943
2002	0.007670182166826462	40	5215
2003	0.006807446512920256	49	7198
2004	0.006135887458844657	41	6682
2005	0.006493506493506494	40	6160
2006	0.005187319884726225	18	3470
2007	0.005240590757503573	11	2099
2008	0.00422206252245778	47	11132
2009	0.005542312276519666	93	16780
2010	0.005853277835587929	90	15376
2011	0.0049700435729847494	73	14688
2012	0.006351489004733657	106	16689
2013	0.005469604625722769	105	19197
