year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0.00026048450117218026	1	3839
1958	0	0	3739
1959	0	0	3815
1960	0.0005298013245033113	2	3775
1961	0	0	4413
1962	0.0007199424046076314	3	4167
1963	0.0002181976871045167	1	4583
1964	0	0	4995
1965	0.0003727865796831314	2	5365
1966	0.00018148820326678765	1	5510
1967	0.000177367860943597	1	5638
1968	0.00016716817118020728	1	5982
1969	0.00034518467380048324	2	5794
1970	0.00016815200941651252	1	5947
1971	0.0011980830670926517	6	5008
1972	0.00032357223750202233	2	6181
1973	0	0	5920
1974	0.00019065776930409913	1	5245
1975	0.0010070493454179255	5	4965
1976	0.001750632172729041	9	5141
1977	0.00018521948508983145	1	5399
1978	0.00018086453246518358	1	5529
1979	0	0	5279
1980	0.00036900369003690036	2	5420
1981	0	0	5329
1982	0	0	5319
1983	0.0001892147587511826	1	5285
1984	0.0003756574004507889	2	5324
1985	0.00017497812773403323	1	5715
1986	0.0001928268414963363	1	5186
1987	0	0	5469
1988	0.0009079353550027238	5	5507
1989	0.00017433751743375174	1	5736
1990	0	0	5700
1991	0.0005092514004413513	3	5891
1992	0	0	5978
1993	0.0003356267830172848	2	5959
1994	0.0006634599436059048	4	6029
1995	0.0001556420233463035	1	6425
1996	0.00015135462388375965	1	6607
1997	0.00018521948508983145	1	5399
1998	0.0008271298593879239	3	3627
1999	0.00792303338992643	56	7068
2000	0.012159533073929961	100	8224
2001	0.007921647702722166	55	6943
2002	0.011313518696069032	59	5215
2003	0.010141706029452626	73	7198
2004	0.00823106854235259	55	6682
2005	0.006168831168831169	38	6160
2006	0.011239193083573486	39	3470
2007	0.013816102906145784	29	2099
2008	0.006198347107438017	69	11132
2009	0.009415971394517282	158	16780
2010	0.010015608740894901	154	15376
2011	0.009327342047930284	137	14688
2012	0.009587153214692312	160	16689
2013	0.009897379798926915	190	19197
