year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0.0003996802557953637	1	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0.0003297065611605671	1	3033
1954	0.00092109303039607	3	3257
1955	0.0005192107995846313	2	3852
1956	0.0005212405525149857	2	3837
1957	0	0	3839
1958	0	0	3739
1959	0.0005242463958060288	2	3815
1960	0.0007947019867549669	3	3775
1961	0.0013596193065941536	6	4413
1962	0.0023998080153587713	10	4167
1963	0.0026183722452542005	12	4583
1964	0.0026026026026026027	13	4995
1965	0.0022367194780987883	12	5365
1966	0.003811252268602541	21	5510
1967	0.0035473572188719402	20	5638
1968	0.0031761952524239387	19	5982
1969	0.00431480842250604	25	5794
1970	0.004035648225996301	24	5947
1971	0.0029952076677316293	15	5008
1972	0.001941433425012134	12	6181
1973	0.0015202702702702704	9	5920
1974	0.001525262154432793	8	5245
1975	0.0006042296072507553	3	4965
1976	0.0019451468585878235	10	5141
1977	0.0018521948508983144	10	5399
1978	0.0016277807921866521	9	5529
1979	0.0022731577950369387	12	5279
1980	0.0016605166051660517	9	5420
1981	0.001125914805779696	6	5329
1982	0.001504042113179169	8	5319
1983	0.000946073793755913	5	5285
1984	0.0007513148009015778	4	5324
1985	0.00034995625546806647	2	5715
1986	0.0015426147319706903	8	5186
1987	0.0010970927043335162	6	5469
1988	0.0005447612130016343	3	5507
1989	0.0017433751743375174	10	5736
1990	0.0005263157894736842	3	5700
1991	0.0013580037345102699	8	5891
1992	0.0015055202408832385	9	5978
1993	0.0013425071320691392	8	5959
1994	0.0013269198872118096	8	6029
1995	0.0014007782101167316	9	6425
1996	0.0009081277433025579	6	6607
1997	0.0005556584552694943	3	5399
1998	0.00027570995312930797	1	3627
1999	0.00042444821731748726	3	7068
2000	0.0006079766536964981	5	8224
2001	0.00043208987469393634	3	6943
2002	0.0009587727708533077	5	5215
2003	0.0005557099194220616	4	7198
2004	0.0004489673750374139	3	6682
2005	0.000487012987012987	3	6160
2006	0.00028818443804034583	1	3470
2007	0.0009528346831824678	2	2099
2008	0.00035932446999640676	4	11132
2009	0.0004171632896305125	7	16780
2010	0.0003251821019771072	5	15376
2011	0.00034041394335511985	5	14688
2012	0.0005991970759182695	10	16689
2013	0.0001562744178777934	3	19197
