year	portion	word_count	total_count
1945	0	0	276
1946	0.001321003963011889	2	1514
1947	0.0012084592145015106	2	1655
1948	0.001488095238095238	3	2016
1949	0.0031974420463629096	8	2502
1950	0.0032455824017309774	9	2773
1951	0.002486678507992895	7	2815
1952	0.0034317089910775567	10	2914
1953	0.0023079459281239697	7	3033
1954	0.0015351550506601166	5	3257
1955	0.0018172377985462098	7	3852
1956	0.003388063591347407	13	3837
1957	0.004949205522271425	19	3839
1958	0.004279219042524739	16	3739
1959	0.006290956749672346	24	3815
1960	0.003443708609271523	13	3775
1961	0.00498527079084523	22	4413
1962	0.00335973122150228	14	4167
1963	0.006327732926030984	29	4583
1964	0.004604604604604604	23	4995
1965	0.00521901211556384	28	5365
1966	0.006896551724137931	38	5510
1967	0.008158921603405462	46	5638
1968	0.006519558676028084	39	5982
1969	0.009492578529513289	55	5794
1970	0.007230536404910039	43	5947
1971	0.009584664536741214	48	5008
1972	0.008574664293803592	53	6181
1973	0.011317567567567568	67	5920
1974	0.009723546234509056	51	5245
1975	0.011278952668680765	56	4965
1976	0.013421513324255981	69	5141
1977	0.008890535284311909	48	5399
1978	0.01067100741544583	59	5529
1979	0.011176359158931616	59	5279
1980	0.010885608856088561	59	5420
1981	0.009007318446237568	48	5329
1982	0.012220342169580749	65	5319
1983	0.013434247871333965	71	5285
1984	0.012772351615326822	68	5324
1985	0.009623797025371828	55	5715
1986	0.015618974161203239	81	5186
1987	0.012250868531724263	67	5469
1988	0.015071726893045215	83	5507
1989	0.00906555090655509	52	5736
1990	0.014210526315789474	81	5700
1991	0.016975046681378374	100	5891
1992	0.010705921712947474	64	5978
1993	0.011411310622587682	68	5959
1994	0.010283629125891524	62	6029
1995	0.009494163424124513	61	6425
1996	0.007870440441955501	52	6607
1997	0.008149657343952585	44	5399
1998	0.008271298593879239	30	3627
1999	0.00919637804187889	65	7068
2000	0.011186770428015564	92	8224
2001	0.011378366700273658	79	6943
2002	0.011888782358581016	62	5215
2003	0.008613503751041956	62	7198
2004	0.009129003292427417	61	6682
2005	0.009902597402597402	61	6160
2006	0.01037463976945245	36	3470
2007	0.014768937589328252	31	2099
2008	0.008354293927416457	93	11132
2009	0.012336114421930871	207	16780
2010	0.015153485952133195	233	15376
2011	0.01681644880174292	247	14688
2012	0.01258313859428366	210	16689
2013	0.011408032505078918	219	19197
