year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0	0	5638
1968	0	0	5982
1969	0	0	5794
1970	0	0	5947
1971	0	0	5008
1972	0	0	6181
1973	0	0	5920
1974	0	0	5245
1975	0	0	4965
1976	0.00038902937171756465	2	5141
1977	0.0003704389701796629	2	5399
1978	0.00036172906493036716	2	5529
1979	0.0007577192650123129	4	5279
1980	0.0005535055350553505	3	5420
1981	0.0007506098705197974	4	5329
1982	0.001692047377326565	9	5319
1983	0.000946073793755913	5	5285
1984	0.0009391435011269722	5	5324
1985	0.0012248468941382328	7	5715
1986	0.0011569610489780178	6	5186
1987	0.0007313951362223441	4	5469
1988	0.001452696568004358	8	5507
1989	0.0005230125523012552	3	5736
1990	0.0007017543859649122	4	5700
1991	0.0008487523340689187	5	5891
1992	0.00033456005352960856	2	5978
1993	0.0010068803490518544	6	5959
1994	0.0009951899154088573	6	6029
1995	0.0028015564202334632	18	6425
1996	0.003027092477675193	20	6607
1997	0.0051861455825152804	28	5399
1998	0.0022056796250344637	8	3627
1999	0.005234861346915676	37	7068
2000	0.0069309338521400775	57	8224
2001	0.004608958663401988	32	6943
2002	0.0023010546500479385	12	5215
2003	0.0027785495971103086	20	7198
2004	0.0026938042502244837	18	6682
2005	0.001948051948051948	12	6160
2006	0.003170028818443804	11	3470
2007	0.0019056693663649356	4	2099
2008	0.002605102407473949	29	11132
2009	0.0038140643623361145	64	16780
2010	0.004162330905306972	64	15376
2011	0.003880718954248366	57	14688
2012	0.004434058361795195	74	16689
2013	0.004167317810074491	80	19197
