year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0	0	5638
1968	0	0	5982
1969	0	0	5794
1970	0	0	5947
1971	0	0	5008
1972	0	0	6181
1973	0	0	5920
1974	0	0	5245
1975	0	0	4965
1976	0	0	5141
1977	0.00018521948508983145	1	5399
1978	0.0009043226623259179	5	5529
1979	0.0013260087137715476	7	5279
1980	0.0012915129151291514	7	5420
1981	0.0009382623381497466	5	5329
1982	0.0020680579056213573	11	5319
1983	0.0015137180700094607	8	5285
1984	0.0011269722013523666	6	5324
1985	0.0006999125109361329	4	5715
1986	0.0015426147319706903	8	5186
1987	0.0007313951362223441	4	5469
1988	0.0003631741420010895	2	5507
1989	0.0015690376569037657	9	5736
1990	0.0015789473684210526	9	5700
1991	0.0008487523340689187	5	5891
1992	0.00117096018735363	7	5978
1993	0.0011746937405604967	7	5959
1994	0.0009951899154088573	6	6029
1995	0.0017120622568093384	11	6425
1996	0.0021189647343726353	14	6607
1997	0.0033339507316169662	18	5399
1998	0.0024813895781637717	9	3627
1999	0.003254102999434069	23	7068
2000	0.007174124513618677	59	8224
2001	0.0034567189975514907	24	6943
2002	0.0024928092042186003	13	5215
2003	0.002361767157543762	17	7198
2004	0.00149655791679138	10	6682
2005	0.0011363636363636363	7	6160
2006	0.0020172910662824206	7	3470
2007	0.0014292520247737017	3	2099
2008	0.0018864534674811354	21	11132
2009	0.0017282479141835518	29	16780
2010	0.0024713839750260145	38	15376
2011	0.0008850762527233115	13	14688
2012	0.0007190364911019234	12	16689
2013	0.001198103870396416	23	19197
