year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0.0003297065611605671	1	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0.0005209690023443605	2	3839
1958	0.0002674511901577962	1	3739
1959	0	0	3815
1960	0	0	3775
1961	0.0006798096532970768	3	4413
1962	0.00023998080153587713	1	4167
1963	0.0008727907484180668	4	4583
1964	0.0018018018018018018	9	4995
1965	0.0014911463187325257	8	5365
1966	0.000544464609800363	3	5510
1967	0.000532103582830791	3	5638
1968	0.0005015045135406219	3	5982
1969	0.0010355540214014498	6	5794
1970	0.0011770640659155877	7	5947
1971	0.000998402555910543	5	5008
1972	0.0004853583562530335	3	6181
1973	0.0010135135135135136	6	5920
1974	0.00438512869399428	23	5245
1975	0.004632426988922457	23	4965
1976	0.001750632172729041	9	5141
1977	0.0027782922763474717	15	5399
1978	0.0019895098571170193	11	5529
1979	0.0028414472437961733	15	5279
1980	0.0027675276752767526	15	5420
1981	0.002251829611559392	12	5329
1982	0.003008084226358338	16	5319
1983	0.001892147587511826	10	5285
1984	0.00507137490608565	27	5324
1985	0.003499562554680665	20	5715
1986	0.0021210952564596993	11	5186
1987	0.0036569756811117207	20	5469
1988	0.006537134556019611	36	5507
1989	0.006624825662482566	38	5736
1990	0.00824561403508772	47	5700
1991	0.010354778475640808	61	5891
1992	0.01371696219471395	82	5978
1993	0.01258600436314818	75	5959
1994	0.013932658815724001	84	6029
1995	0.01151750972762646	74	6425
1996	0.00923263205690934	61	6607
1997	0.014817558807186515	80	5399
1998	0.011304108078301628	41	3627
1999	0.0043859649122807015	31	7068
2000	0.005836575875486381	48	8224
2001	0.0047529886216333	33	6943
2002	0.004026845637583893	21	5215
2003	0.004306751875520978	31	7198
2004	0.0034420832086201735	23	6682
2005	0.003246753246753247	20	6160
2006	0.004034582132564841	14	3470
2007	0.004287756074321105	9	2099
2008	0.0021559468199784403	24	11132
2009	0.0023837902264600714	40	16780
2010	0.0024713839750260145	38	15376
2011	0.0030637254901960784	45	14688
2012	0.0031757445023668286	53	16689
2013	0.0021878418502891076	42	19197
