year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0.0006042296072507553	1	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0.00026048450117218026	1	3839
1958	0.0005349023803155924	2	3739
1959	0.0002621231979030144	1	3815
1960	0.0005298013245033113	2	3775
1961	0.0009064128710627691	4	4413
1962	0.0007199424046076314	3	4167
1963	0.0002181976871045167	1	4583
1964	0.0002002002002002002	1	4995
1965	0.0003727865796831314	2	5365
1966	0.0003629764065335753	2	5510
1967	0.0008868393047179851	5	5638
1968	0.00016716817118020728	1	5982
1969	0.00017259233690024162	1	5794
1970	0.00033630401883302503	2	5947
1971	0.00019968051118210862	1	5008
1972	0.00016178611875101117	1	6181
1973	0.0005067567567567568	3	5920
1974	0	0	5245
1975	0	0	4965
1976	0	0	5141
1977	0.00018521948508983145	1	5399
1978	0.00036172906493036716	2	5529
1979	0	0	5279
1980	0.00018450184501845018	1	5420
1981	0	0	5329
1982	0	0	5319
1983	0	0	5285
1984	0.00018782870022539445	1	5324
1985	0.00034995625546806647	2	5715
1986	0	0	5186
1987	0.00018284878405558602	1	5469
1988	0.0003631741420010895	2	5507
1989	0	0	5736
1990	0.0003508771929824561	2	5700
1991	0.00016975046681378373	1	5891
1992	0	0	5978
1993	0	0	5959
1994	0	0	6029
1995	0	0	6425
1996	0.0003027092477675193	2	6607
1997	0.0003704389701796629	2	5399
1998	0.00027570995312930797	1	3627
1999	0.0001414827391058291	1	7068
2000	0.00024319066147859923	2	8224
2001	0.00014402995823131211	1	6943
2002	0	0	5215
2003	0.0004167824395665463	3	7198
2004	0	0	6682
2005	0.00016233766233766234	1	6160
2006	0	0	3470
2007	0.0004764173415912339	1	2099
2008	0	0	11132
2009	0.00011918951132300358	2	16780
2010	0.0001951092611862643	3	15376
2011	0.00013616557734204794	2	14688
2012	0.00005991970759182695	1	16689
2013	0.0001562744178777934	3	19197
