year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0.0003606202668589975	1	2773
1951	0.00035523978685612787	1	2815
1952	0.001029512697323267	3	2914
1953	0	0	3033
1954	0.00030703101013202335	1	3257
1955	0.0005192107995846313	2	3852
1956	0.00026062027625749283	1	3837
1957	0.00026048450117218026	1	3839
1958	0	0	3739
1959	0.0002621231979030144	1	3815
1960	0.0013245033112582781	5	3775
1961	0.0006798096532970768	3	4413
1962	0.001919846412287017	8	4167
1963	0.0010909884355225835	5	4583
1964	0.0014014014014014013	7	4995
1965	0.002423112767940354	13	5365
1966	0.0007259528130671506	4	5510
1967	0.0008868393047179851	5	5638
1968	0.0015045135406218655	9	5982
1969	0.001380738695201933	8	5794
1970	0.0016815200941651253	10	5947
1971	0.001597444089456869	8	5008
1972	0.0012942889500080893	8	6181
1973	0.0013513513513513514	8	5920
1974	0.002478551000953289	13	5245
1975	0.0006042296072507553	3	4965
1976	0.000583544057576347	3	5141
1977	0.0005556584552694943	3	5399
1978	0.0009043226623259179	5	5529
1979	0.0005682894487592347	3	5279
1980	0.00036900369003690036	2	5420
1981	0.0003753049352598987	2	5329
1982	0.00037601052829479227	2	5319
1983	0.0003784295175023652	2	5285
1984	0.00018782870022539445	1	5324
1985	0.0006999125109361329	4	5715
1986	0.0001928268414963363	1	5186
1987	0.0005485463521667581	3	5469
1988	0.00018158707100054475	1	5507
1989	0.0005230125523012552	3	5736
1990	0.00017543859649122806	1	5700
1991	0.0006790018672551349	4	5891
1992	0.0010036801605888257	6	5978
1993	0.0005034401745259272	3	5959
1994	0.0001658649859014762	1	6029
1995	0.000311284046692607	2	6425
1996	0.0003027092477675193	2	6607
1997	0.0009260974254491572	5	5399
1998	0.0005514199062586159	2	3627
1999	0.0002829654782116582	2	7068
2000	0.0006079766536964981	5	8224
2001	0.001152239665850497	8	6943
2002	0.0005752636625119846	3	5215
2003	0.0004167824395665463	3	7198
2004	0.0013469021251122418	9	6682
2005	0.000487012987012987	3	6160
2006	0	0	3470
2007	0.0004764173415912339	1	2099
2008	0.00008983111749910169	1	11132
2009	0.0003575685339690107	6	16780
2010	0.0003902185223725286	6	15376
2011	0.00034041394335511985	5	14688
2012	0.00041943795314278864	7	16689
2013	0.00046882325363338024	9	19197
