year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0.000177367860943597	1	5638
1968	0.00016716817118020728	1	5982
1969	0.00034518467380048324	2	5794
1970	0.00033630401883302503	2	5947
1971	0	0	5008
1972	0.00016178611875101117	1	6181
1973	0.00033783783783783786	2	5920
1974	0	0	5245
1975	0.0002014098690835851	1	4965
1976	0.000583544057576347	3	5141
1977	0	0	5399
1978	0	0	5529
1979	0.00037885963250615644	2	5279
1980	0.00036900369003690036	2	5420
1981	0.0007506098705197974	4	5329
1982	0.00018800526414739614	1	5319
1983	0.0003784295175023652	2	5285
1984	0.002066115702479339	11	5324
1985	0.00017497812773403323	1	5715
1986	0.0003856536829926726	2	5186
1987	0.0014627902724446882	8	5469
1988	0.0003631741420010895	2	5507
1989	0.00017433751743375174	1	5736
1990	0.0005263157894736842	3	5700
1991	0.0008487523340689187	5	5891
1992	0.0016728002676480427	10	5978
1993	0.002517200872629636	15	5959
1994	0.0044783546193398575	27	6029
1995	0.0062256809338521405	40	6425
1996	0.008475858937490541	56	6607
1997	0.0066679014632339325	36	5399
1998	0.005514199062586159	20	3627
1999	0.006508205998868138	46	7068
2000	0.0070525291828793775	58	8224
2001	0.0059052282874837965	41	6943
2002	0.003835091083413231	20	5215
2003	0.005140316754654071	37	7198
2004	0.004040706375336726	27	6682
2005	0.0037337662337662337	23	6160
2006	0.004610951008645533	16	3470
2007	0.006669842782277275	14	2099
2008	0.0017966223499820337	20	11132
2009	0.0019070321811680572	32	16780
2010	0.0028616024973985433	44	15376
2011	0.0023828976034858387	35	14688
2012	0.0016777518125711546	28	16689
2013	0.0028129395218002813	54	19197
