year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0.0007993605115907274	2	2502
1950	0.0003606202668589975	1	2773
1951	0	0	2815
1952	0	0	2914
1953	0.0003297065611605671	1	3033
1954	0.00030703101013202335	1	3257
1955	0.000778816199376947	3	3852
1956	0.0005212405525149857	2	3837
1957	0.0007814535035165407	3	3839
1958	0.0002674511901577962	1	3739
1959	0.0007863695937090433	3	3815
1960	0.00026490066225165563	1	3775
1961	0.0006798096532970768	3	4413
1962	0.0009599232061435085	4	4167
1963	0.0002181976871045167	1	4583
1964	0.0006006006006006006	3	4995
1965	0.0011183597390493941	6	5365
1966	0.0009074410163339383	5	5510
1967	0.0008868393047179851	5	5638
1968	0.0006686726847208291	4	5982
1969	0.0006903693476009665	4	5794
1970	0.0008407600470825626	5	5947
1971	0.00039936102236421724	2	5008
1972	0.00032357223750202233	2	6181
1973	0.0010135135135135136	6	5920
1974	0.00038131553860819826	2	5245
1975	0.0002014098690835851	1	4965
1976	0.0007780587434351293	4	5141
1977	0.002222633821077977	12	5399
1978	0.003436426116838488	19	5529
1979	0.002462587611290017	13	5279
1980	0.0027675276752767526	15	5420
1981	0.00281478701444924	15	5329
1982	0.0026320736980635457	14	5319
1983	0.0005676442762535478	3	5285
1984	0.0009391435011269722	5	5324
1985	0.0027996500437445318	16	5715
1986	0.001349787890474354	7	5186
1987	0.0021941854086670325	12	5469
1988	0.0019974577810059923	11	5507
1989	0.0017433751743375174	10	5736
1990	0.002456140350877193	14	5700
1991	0.002546257002206756	15	5891
1992	0.0015055202408832385	9	5978
1993	0.0023493874811209934	14	5959
1994	0.0019903798308177146	12	6029
1995	0.0020233463035019454	13	6425
1996	0.0006054184955350386	4	6607
1997	0.0014817558807186516	8	5399
1998	0.0008271298593879239	3	3627
1999	0.0008488964346349745	6	7068
2000	0.0012159533073929961	10	8224
2001	0.002592539248163618	18	6943
2002	0.0003835091083413231	2	5215
2003	0.0011114198388441233	8	7198
2004	0.0010475905417539658	7	6682
2005	0.001461038961038961	9	6160
2006	0.0008645533141210375	3	3470
2007	0.0014292520247737017	3	2099
2008	0.00035932446999640676	4	11132
2009	0.0005959475566150178	10	16780
2010	0.0006503642039542144	10	15376
2011	0.0008850762527233115	13	14688
2012	0.0007190364911019234	12	16689
2013	0.00036464030838151797	7	19197
