year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0.0003996802557953637	1	2502
1950	0	0	2773
1951	0.0007104795737122557	2	2815
1952	0	0	2914
1953	0	0	3033
1954	0.00030703101013202335	1	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0.0005349023803155924	2	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0.0004004004004004004	2	4995
1965	0.0003727865796831314	2	5365
1966	0	0	5510
1967	0	0	5638
1968	0.00033433634236041456	2	5982
1969	0.00034518467380048324	2	5794
1970	0	0	5947
1971	0	0	5008
1972	0.00032357223750202233	2	6181
1973	0.00033783783783783786	2	5920
1974	0	0	5245
1975	0	0	4965
1976	0.00019451468585878233	1	5141
1977	0	0	5399
1978	0.00036172906493036716	2	5529
1979	0.00018942981625307822	1	5279
1980	0.00036900369003690036	2	5420
1981	0	0	5329
1982	0.00018800526414739614	1	5319
1983	0	0	5285
1984	0.0003756574004507889	2	5324
1985	0.00017497812773403323	1	5715
1986	0.0001928268414963363	1	5186
1987	0.0005485463521667581	3	5469
1988	0.0009079353550027238	5	5507
1989	0.0005230125523012552	3	5736
1990	0.0008771929824561404	5	5700
1991	0.0005092514004413513	3	5891
1992	0.0010036801605888257	6	5978
1993	0.0003356267830172848	2	5959
1994	0.0003317299718029524	2	6029
1995	0.0007782101167315176	5	6425
1996	0.0006054184955350386	4	6607
1997	0.0007408779403593258	4	5399
1998	0	0	3627
1999	0.00042444821731748726	3	7068
2000	0.00048638132295719845	4	8224
2001	0.00043208987469393634	3	6943
2002	0.0005752636625119846	3	5215
2003	0.0005557099194220616	4	7198
2004	0.000598623166716552	4	6682
2005	0	0	6160
2006	0.0005763688760806917	2	3470
2007	0	0	2099
2008	0.00026949335249730504	3	11132
2009	0.00023837902264600716	4	16780
2010	0.00026014568158168577	4	15376
2011	0.0005446623093681918	8	14688
2012	0.00029959853795913474	5	16689
2013	0.00020836589050372454	4	19197
