year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0.0003297065611605671	1	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0.0005209690023443605	2	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0.00022660321776569228	1	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0.0001863932898415657	1	5365
1966	0.0003629764065335753	2	5510
1967	0.000354735721887194	2	5638
1968	0.00033433634236041456	2	5982
1969	0	0	5794
1970	0.0010089120564990752	6	5947
1971	0.0007987220447284345	4	5008
1972	0.00016178611875101117	1	6181
1973	0.00016891891891891893	1	5920
1974	0	0	5245
1975	0.0002014098690835851	1	4965
1976	0	0	5141
1977	0.00018521948508983145	1	5399
1978	0	0	5529
1979	0.00018942981625307822	1	5279
1980	0	0	5420
1981	0	0	5329
1982	0	0	5319
1983	0.0001892147587511826	1	5285
1984	0.0003756574004507889	2	5324
1985	0	0	5715
1986	0.0001928268414963363	1	5186
1987	0.00036569756811117204	2	5469
1988	0	0	5507
1989	0	0	5736
1990	0	0	5700
1991	0	0	5891
1992	0.00016728002676480428	1	5978
1993	0.0003356267830172848	2	5959
1994	0.0001658649859014762	1	6029
1995	0.0001556420233463035	1	6425
1996	0	0	6607
1997	0.0003704389701796629	2	5399
1998	0.00027570995312930797	1	3627
1999	0.0002829654782116582	2	7068
2000	0.00036478599221789884	3	8224
2001	0.0007201497911565605	5	6943
2002	0.0009587727708533077	5	5215
2003	0.0002778549597110308	2	7198
2004	0.000149655791679138	1	6682
2005	0.0003246753246753247	2	6160
2006	0.00028818443804034583	1	3470
2007	0.0004764173415912339	1	2099
2008	0.00008983111749910169	1	11132
2009	0.00011918951132300358	2	16780
2010	0.00013007284079084288	2	15376
2011	0	0	14688
2012	0.0001198394151836539	2	16689
2013	0	0	19197
