year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0.00034317089910775565	1	2914
1953	0.0003297065611605671	1	3033
1954	0.0006140620202640467	2	3257
1955	0.000778816199376947	3	3852
1956	0.0013031013812874641	5	3837
1957	0.001041938004688721	4	3839
1958	0.0021396095212623694	8	3739
1959	0.003669724770642202	14	3815
1960	0.003443708609271523	13	3775
1961	0.00498527079084523	22	4413
1962	0.004559635229181665	19	4167
1963	0.0041457560549858176	19	4583
1964	0.004604604604604604	23	4995
1965	0.005405405405405406	29	5365
1966	0.006533575317604356	36	5510
1967	0.004079460801702731	23	5638
1968	0.0036776997659645604	22	5982
1969	0.004142216085605799	24	5794
1970	0.0036993442071632755	22	5947
1971	0.0011980830670926517	6	5008
1972	0.0017796473062611229	11	6181
1973	0.0013513513513513514	8	5920
1974	0.002859866539561487	15	5245
1975	0.0034239677744209466	17	4965
1976	0.003890293717175647	20	5141
1977	0.0024078533061678087	13	5399
1978	0.0036172906493036716	20	5529
1979	0.0032203068763023298	17	5279
1980	0.0035055350553505533	19	5420
1981	0.0043160067554888345	23	5329
1982	0.0018800526414739613	10	5319
1983	0.0024597918637653737	13	5285
1984	0.0035687453042824945	19	5324
1985	0.0059492563429571306	34	5715
1986	0.0038565368299267257	20	5186
1987	0.0038398244651673065	21	5469
1988	0.00381332849101144	21	5507
1989	0.004358437935843794	25	5736
1990	0.003157894736842105	18	5700
1991	0.0027160074690205397	16	5891
1992	0.0033456005352960855	20	5978
1993	0.00352408122168149	21	5959
1994	0.003317299718029524	20	6029
1995	0.0035797665369649806	23	6425
1996	0.005297411835931588	35	6607
1997	0.0029635117614373032	16	5399
1998	0.006341328921974083	23	3627
1999	0.004951895868704018	35	7068
2000	0.007417315175097276	61	8224
2001	0.0059052282874837965	41	6943
2002	0.006136145733461169	32	5215
2003	0.006946373992775771	50	7198
2004	0.00598623166716552	40	6682
2005	0.005194805194805195	32	6160
2006	0.005763688760806916	20	3470
2007	0.00857551214864221	18	2099
2008	0.004850880344951491	54	11132
2009	0.006257449344457688	105	16780
2010	0.006178459937565037	95	15376
2011	0.00755718954248366	111	14688
2012	0.005752291928815387	96	16689
2013	0.00734489764025629	141	19197
