year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0.0003996802557953637	1	2502
1950	0	0	2773
1951	0.00035523978685612787	1	2815
1952	0.00034317089910775565	1	2914
1953	0	0	3033
1954	0	0	3257
1955	0.00025960539979231567	1	3852
1956	0.00026062027625749283	1	3837
1957	0	0	3839
1958	0.0002674511901577962	1	3739
1959	0.0002621231979030144	1	3815
1960	0	0	3775
1961	0.0009064128710627691	4	4413
1962	0	0	4167
1963	0	0	4583
1964	0.0002002002002002002	1	4995
1965	0.0001863932898415657	1	5365
1966	0.00018148820326678765	1	5510
1967	0.000354735721887194	2	5638
1968	0.00016716817118020728	1	5982
1969	0.00034518467380048324	2	5794
1970	0.00016815200941651252	1	5947
1971	0.00019968051118210862	1	5008
1972	0.00032357223750202233	2	6181
1973	0	0	5920
1974	0.00019065776930409913	1	5245
1975	0	0	4965
1976	0	0	5141
1977	0.0003704389701796629	2	5399
1978	0.00018086453246518358	1	5529
1979	0.0005682894487592347	3	5279
1980	0.00036900369003690036	2	5420
1981	0.00018765246762994934	1	5329
1982	0.00037601052829479227	2	5319
1983	0.0001892147587511826	1	5285
1984	0.0003756574004507889	2	5324
1985	0.0005249343832020997	3	5715
1986	0.0005784805244890089	3	5186
1987	0.0005485463521667581	3	5469
1988	0.00018158707100054475	1	5507
1989	0.0005230125523012552	3	5736
1990	0.0007017543859649122	4	5700
1991	0.00033950093362756747	2	5891
1992	0.00033456005352960856	2	5978
1993	0.0003356267830172848	2	5959
1994	0.0006634599436059048	4	6029
1995	0.0004669260700389105	3	6425
1996	0.00015135462388375965	1	6607
1997	0.0003704389701796629	2	5399
1998	0.00027570995312930797	1	3627
1999	0.0005659309564233164	4	7068
2000	0.0013375486381322957	11	8224
2001	0.0010082097076191847	7	6943
2002	0.00019175455417066154	1	5215
2003	0.0001389274798555154	1	7198
2004	0.0004489673750374139	3	6682
2005	0.00016233766233766234	1	6160
2006	0.00028818443804034583	1	3470
2007	0	0	2099
2008	0.00008983111749910169	1	11132
2009	0.0002979737783075089	5	16780
2010	0.0003902185223725286	6	15376
2011	0.00034041394335511985	5	14688
2012	0.00041943795314278864	7	16689
2013	0.0004167317810074491	8	19197
