year	portion	word_count	total_count
1945	0	0	276
1946	0.0006605019815059445	1	1514
1947	0	0	1655
1948	0.000496031746031746	1	2016
1949	0.0003996802557953637	1	2502
1950	0.0003606202668589975	1	2773
1951	0.0007104795737122557	2	2815
1952	0.0006863417982155113	2	2914
1953	0.0013188262446422684	4	3033
1954	0.0012281240405280934	4	3257
1955	0.0020768431983385254	8	3852
1956	0.0013031013812874641	5	3837
1957	0.0007814535035165407	3	3839
1958	0.0008023535704733886	3	3739
1959	0.0020969855832241153	8	3815
1960	0.0005298013245033113	2	3775
1961	0.0029458418309539994	13	4413
1962	0.004079673626109911	17	4167
1963	0.0015273838097316168	7	4583
1964	0.002002002002002002	10	4995
1965	0.0022367194780987883	12	5365
1966	0.0023593466424682396	13	5510
1967	0.0023057821922667612	13	5638
1968	0.0036776997659645604	22	5982
1969	0.00431480842250604	25	5794
1970	0.0070623843954935265	42	5947
1971	0.003594249201277955	18	5008
1972	0.0035592946125222458	22	6181
1973	0.00472972972972973	28	5920
1974	0.00896091515729266	47	5245
1975	0.006646525679758308	33	4965
1976	0.0062244699474810344	32	5141
1977	0.004630487127245786	25	5399
1978	0.0057876650388858746	32	5529
1979	0.007008903201363895	37	5279
1980	0.0051660516605166054	28	5420
1981	0.0043160067554888345	23	5329
1982	0.00582816318856928	31	5319
1983	0.005487228003784295	29	5285
1984	0.006949661908339595	37	5324
1985	0.00699912510936133	40	5715
1986	0.01041264944080216	54	5186
1987	0.010239531907112819	56	5469
1988	0.006900308698020701	38	5507
1989	0.007496513249651325	43	5736
1990	0.006491228070175438	37	5700
1991	0.004922763537599729	29	5891
1992	0.005352960856473737	32	5978
1993	0.006041282094311126	36	5959
1994	0.007629789351467905	46	6029
1995	0.008560311284046693	55	6425
1996	0.008475858937490541	56	6607
1997	0.005741804037784775	31	5399
1998	0.006892748828232699	25	3627
1999	0.0055178268251273345	39	7068
2000	0.007660505836575875	63	8224
2001	0.010370156992654473	72	6943
2002	0.011888782358581016	62	5215
2003	0.01000277854959711	72	7198
2004	0.010026938042502246	67	6682
2005	0.007954545454545454	49	6160
2006	0.010086455331412104	35	3470
2007	0.007146260123868509	15	2099
2008	0.006018684872439813	67	11132
2009	0.008104886769964244	136	16780
2010	0.009105098855359001	140	15376
2011	0.009259259259259259	136	14688
2012	0.00964707292228414	161	16689
2013	0.007761629421263739	149	19197
