year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0.0007104795737122557	2	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0.00025960539979231567	1	3852
1956	0	0	3837
1957	0	0	3839
1958	0.0005349023803155924	2	3739
1959	0.0007863695937090433	3	3815
1960	0.0005298013245033113	2	3775
1961	0.00045320643553138455	2	4413
1962	0	0	4167
1963	0.0015273838097316168	7	4583
1964	0.0012012012012012011	6	4995
1965	0.0016775396085740913	9	5365
1966	0.0009074410163339383	5	5510
1967	0.0012415750266051792	7	5638
1968	0.001671681711802073	10	5982
1969	0.0015533310321021747	9	5794
1970	0.0021859761224146627	13	5947
1971	0.0017971246006389776	9	5008
1972	0.0037210807312732567	23	6181
1973	0.002533783783783784	15	5920
1974	0.002478551000953289	13	5245
1975	0.0030211480362537764	15	4965
1976	0.0027232056020229526	14	5141
1977	0.0031487312465271347	17	5399
1978	0.003436426116838488	19	5529
1979	0.004167455957567721	22	5279
1980	0.0036900369003690036	20	5420
1981	0.002251829611559392	12	5329
1982	0.0052641473961270915	28	5319
1983	0.003973509933774834	21	5285
1984	0.0015026296018031556	8	5324
1985	0.002099737532808399	12	5715
1986	0.003278056305437717	17	5186
1987	0.004754068385445237	26	5469
1988	0.0036317414200108954	20	5507
1989	0.002789400278940028	16	5736
1990	0.0035087719298245615	20	5700
1991	0.0022067560685791886	13	5891
1992	0.0016728002676480427	10	5978
1993	0.0028528276556469205	17	5959
1994	0.0021562448167191904	13	6029
1995	0.0026459143968871595	17	6425
1996	0.0027243832299076736	18	6607
1997	0.004445267642155954	24	5399
1998	0.0024813895781637717	9	3627
1999	0.003254102999434069	23	7068
2000	0.0035262645914396888	29	8224
2001	0.0036007489557828027	25	6943
2002	0.0023010546500479385	12	5215
2003	0.0018060572381217005	13	7198
2004	0.00299311583358276	20	6682
2005	0.002435064935064935	15	6160
2006	0.001440922190201729	5	3470
2007	0.0014292520247737017	3	2099
2008	0.0016169601149838304	18	11132
2009	0.0034564958283671036	58	16780
2010	0.004032258064516129	62	15376
2011	0.0025190631808278867	37	14688
2012	0.0031158247947750016	52	16689
2013	0.0029171224670521438	56	19197
