year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0.000496031746031746	1	2016
1949	0.0003996802557953637	1	2502
1950	0	0	2773
1951	0	0	2815
1952	0.00034317089910775565	1	2914
1953	0.0003297065611605671	1	3033
1954	0.00030703101013202335	1	3257
1955	0	0	3852
1956	0	0	3837
1957	0.00026048450117218026	1	3839
1958	0	0	3739
1959	0.0002621231979030144	1	3815
1960	0.0005298013245033113	2	3775
1961	0.00022660321776569228	1	4413
1962	0	0	4167
1963	0.0006545930613135501	3	4583
1964	0.0004004004004004004	2	4995
1965	0.0009319664492078285	5	5365
1966	0.0009074410163339383	5	5510
1967	0.0012415750266051792	7	5638
1968	0.001170177198261451	7	5982
1969	0.0017259233690024164	10	5794
1970	0.0010089120564990752	6	5947
1971	0.0013977635782747603	7	5008
1972	0.002103219543763145	13	6181
1973	0.002364864864864865	14	5920
1974	0.002669208770257388	14	5245
1975	0.003826787512588117	19	4965
1976	0.0027232056020229526	14	5141
1977	0.004074828671976292	22	5399
1978	0.003436426116838488	19	5529
1979	0.003978026141314643	21	5279
1980	0.0025830258302583027	14	5420
1981	0.0031900919497091385	17	5329
1982	0.003196089490505734	17	5319
1983	0.003216650898770104	17	5285
1984	0.0033809166040570998	18	5324
1985	0.0031496062992125984	18	5715
1986	0.003278056305437717	17	5186
1987	0.005119765953556409	28	5469
1988	0.005266025059015798	29	5507
1989	0.005753138075313808	33	5736
1990	0.0043859649122807015	25	5700
1991	0.003904260736717026	23	5891
1992	0.00468384074941452	28	5978
1993	0.005034401745259272	30	5959
1994	0.004975949577044286	30	6029
1995	0.006381322957198444	41	6425
1996	0.006054184955350386	40	6607
1997	0.0035191702167067978	19	5399
1998	0.007444168734491315	27	3627
1999	0.0050933786078098476	36	7068
2000	0.005958171206225681	49	8224
2001	0.004464928705170675	31	6943
2002	0.0069031639501438155	36	5215
2003	0.005418171714365101	39	7198
2004	0.0035917390002993114	24	6682
2005	0.004058441558441558	25	6160
2006	0.003170028818443804	11	3470
2007	0.004287756074321105	9	2099
2008	0.004042400287459576	45	11132
2009	0.0035160905840286054	59	16780
2010	0.004032258064516129	62	15376
2011	0.004016884531590414	59	14688
2012	0.00275630654922404	46	16689
2013	0.003490128665937386	67	19197
