year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0.00026048450117218026	1	3839
1958	0.0002674511901577962	1	3739
1959	0	0	3815
1960	0	0	3775
1961	0.00022660321776569228	1	4413
1962	0	0	4167
1963	0.0004363953742090334	2	4583
1964	0.0008008008008008008	4	4995
1965	0.0003727865796831314	2	5365
1966	0.0003629764065335753	2	5510
1967	0.000532103582830791	3	5638
1968	0.00033433634236041456	2	5982
1969	0.0005177770107007249	3	5794
1970	0.0021859761224146627	13	5947
1971	0.000998402555910543	5	5008
1972	0.001941433425012134	12	6181
1973	0.0013513513513513514	8	5920
1974	0.001143946615824595	6	5245
1975	0.0014098690835850957	7	4965
1976	0.001167088115152694	6	5141
1977	0.0012965363956288201	7	5399
1978	0.001266051727256285	7	5529
1979	0.0005682894487592347	3	5279
1980	0.001107011070110701	6	5420
1981	0.0020641771439294425	11	5329
1982	0.0013160368490317729	7	5319
1983	0.0011352885525070956	6	5285
1984	0.0016904583020285499	9	5324
1985	0.002099737532808399	12	5715
1986	0.0015426147319706903	8	5186
1987	0.0014627902724446882	8	5469
1988	0.0010895224260032686	6	5507
1989	0.001394700139470014	8	5736
1990	0.0003508771929824561	2	5700
1991	0.0010185028008827025	6	5891
1992	0.0010036801605888257	6	5978
1993	0.0023493874811209934	14	5959
1994	0.001658649859014762	10	6029
1995	0.0020233463035019454	13	6425
1996	0.0016649008627213561	11	6607
1997	0.0025930727912576402	14	5399
1998	0	0	3627
1999	0.00155631013016412	11	7068
2000	0.002796692607003891	23	8224
2001	0.002160449373469682	15	6943
2002	0.0015340364333652923	8	5215
2003	0.0020839121978327314	15	7198
2004	0.0017958695001496557	12	6682
2005	0.0011363636363636363	7	6160
2006	0.0020172910662824206	7	3470
2007	0.0014292520247737017	3	2099
2008	0.0005389867049946101	6	11132
2009	0.0016090584028605483	27	16780
2010	0.0021462018730489074	33	15376
2011	0.001974400871459695	29	14688
2012	0.0018575109353466356	31	16689
2013	0.0016669271240297963	32	19197
