year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0.000496031746031746	1	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0.00030703101013202335	1	3257
1955	0	0	3852
1956	0	0	3837
1957	0.00026048450117218026	1	3839
1958	0	0	3739
1959	0.0002621231979030144	1	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0.000177367860943597	1	5638
1968	0	0	5982
1969	0	0	5794
1970	0	0	5947
1971	0	0	5008
1972	0	0	6181
1973	0	0	5920
1974	0	0	5245
1975	0	0	4965
1976	0.000583544057576347	3	5141
1977	0.00018521948508983145	1	5399
1978	0	0	5529
1979	0	0	5279
1980	0.0005535055350553505	3	5420
1981	0.00018765246762994934	1	5329
1982	0.00037601052829479227	2	5319
1983	0.0003784295175023652	2	5285
1984	0.0007513148009015778	4	5324
1985	0.00017497812773403323	1	5715
1986	0.0001928268414963363	1	5186
1987	0.0005485463521667581	3	5469
1988	0.0003631741420010895	2	5507
1989	0.0003486750348675035	2	5736
1990	0	0	5700
1991	0.00016975046681378373	1	5891
1992	0.00033456005352960856	2	5978
1993	0.0005034401745259272	3	5959
1994	0	0	6029
1995	0.0001556420233463035	1	6425
1996	0.0003027092477675193	2	6607
1997	0.0012965363956288201	7	5399
1998	0	0	3627
1999	0.004102999434069043	29	7068
2000	0.004620622568093385	38	8224
2001	0.005185078496327236	36	6943
2002	0.005752636625119847	30	5215
2003	0.008057793831619895	58	7198
2004	0.006135887458844657	41	6682
2005	0.004707792207792208	29	6160
2006	0.006340057636887608	22	3470
2007	0.006193425440686041	13	2099
2008	0.0033237513474667626	37	11132
2009	0.0032777115613825984	55	16780
2010	0.0038371488033298647	59	15376
2011	0.00428921568627451	63	14688
2012	0.004673737192162502	78	16689
2013	0.0035943116111892483	69	19197
