year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0.0002621231979030144	1	3815
1960	0	0	3775
1961	0.00022660321776569228	1	4413
1962	0	0	4167
1963	0	0	4583
1964	0.0002002002002002002	1	4995
1965	0	0	5365
1966	0	0	5510
1967	0.000354735721887194	2	5638
1968	0	0	5982
1969	0.00034518467380048324	2	5794
1970	0.00016815200941651252	1	5947
1971	0	0	5008
1972	0	0	6181
1973	0	0	5920
1974	0.00019065776930409913	1	5245
1975	0	0	4965
1976	0	0	5141
1977	0	0	5399
1978	0.00018086453246518358	1	5529
1979	0	0	5279
1980	0	0	5420
1981	0	0	5329
1982	0.00037601052829479227	2	5319
1983	0	0	5285
1984	0	0	5324
1985	0.00017497812773403323	1	5715
1986	0	0	5186
1987	0.0005485463521667581	3	5469
1988	0.000726348284002179	4	5507
1989	0.0003486750348675035	2	5736
1990	0.0003508771929824561	2	5700
1991	0.00016975046681378373	1	5891
1992	0.00033456005352960856	2	5978
1993	0.0008390669575432119	5	5959
1994	0.0006634599436059048	4	6029
1995	0.000311284046692607	2	6425
1996	0.00015135462388375965	1	6607
1997	0.0005556584552694943	3	5399
1998	0.0008271298593879239	3	3627
1999	0.0007074136955291454	5	7068
2000	0.0006079766536964981	5	8224
2001	0.001296269624081809	9	6943
2002	0.00019175455417066154	1	5215
2003	0.0005557099194220616	4	7198
2004	0.000299311583358276	2	6682
2005	0.00016233766233766234	1	6160
2006	0.0011527377521613833	4	3470
2007	0.0009528346831824678	2	2099
2008	0.00026949335249730504	3	11132
2009	0.0003575685339690107	6	16780
2010	0.0003902185223725286	6	15376
2011	0.00034041394335511985	5	14688
2012	0.0004793576607346156	8	16689
2013	0.00036464030838151797	7	19197
