year	portion	word_count	total_count
1945	0	0	276
1946	0.0006605019815059445	1	1514
1947	0	0	1655
1948	0.000992063492063492	2	2016
1949	0.0003996802557953637	1	2502
1950	0.000721240533717995	2	2773
1951	0.0014209591474245115	4	2815
1952	0.00034317089910775565	1	2914
1953	0.0006594131223211342	2	3033
1954	0.00030703101013202335	1	3257
1955	0.0010384215991692627	4	3852
1956	0	0	3837
1957	0.0007814535035165407	3	3839
1958	0.0010698047606311847	4	3739
1959	0.001834862385321101	7	3815
1960	0.00026490066225165563	1	3775
1961	0.0006798096532970768	3	4413
1962	0.0009599232061435085	4	4167
1963	0.0008727907484180668	4	4583
1964	0.0006006006006006006	3	4995
1965	0.0020503261882572226	11	5365
1966	0.003629764065335753	20	5510
1967	0.00478893224547712	27	5638
1968	0.003009027081243731	18	5982
1969	0.006558508802209182	38	5794
1970	0.006894232386077013	41	5947
1971	0.007787539936102236	39	5008
1972	0.005986086393787413	37	6181
1973	0.005236486486486487	31	5920
1974	0.006482364156339371	34	5245
1975	0.008459214501510574	42	4965
1976	0.008947675549503988	46	5141
1977	0.006853120948323764	37	5399
1978	0.005606800506420691	31	5529
1979	0.0051146050388331124	27	5279
1980	0.006457564575645757	35	5420
1981	0.00562957402889848	30	5329
1982	0.006392178981011468	34	5319
1983	0.008514664143803218	45	5285
1984	0.008076634109691961	43	5324
1985	0.009448818897637795	54	5715
1986	0.00674893945237177	35	5186
1987	0.010788078259279577	59	5469
1988	0.00835300526602506	46	5507
1989	0.007147838214783821	41	5736
1990	0.007017543859649123	40	5700
1991	0.007978271940247837	47	5891
1992	0.005352960856473737	32	5978
1993	0.0055378419197851985	33	5959
1994	0.007463924365566429	45	6029
1995	0.007937743190661479	51	6425
1996	0.007567731194187983	50	6607
1997	0.0066679014632339325	36	5399
1998	0.006065618968844775	22	3627
1999	0.007498585172608941	53	7068
2000	0.009727626459143969	80	8224
2001	0.007777617744490854	54	6943
2002	0.011313518696069032	59	5215
2003	0.013337038066129481	96	7198
2004	0.0118228075426519	79	6682
2005	0.009253246753246753	57	6160
2006	0.011527377521613832	40	3470
2007	0.012386850881372083	26	2099
2008	0.009881422924901186	110	11132
2009	0.014719904648390942	247	16780
2010	0.01677939646201873	258	15376
2011	0.01715686274509804	252	14688
2012	0.016058481634609625	268	16689
2013	0.012137313121841955	233	19197
