year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0.000496031746031746	1	2016
1949	0	0	2502
1950	0.0003606202668589975	1	2773
1951	0.00035523978685612787	1	2815
1952	0.001029512697323267	3	2914
1953	0.0006594131223211342	2	3033
1954	0.0006140620202640467	2	3257
1955	0.0005192107995846313	2	3852
1956	0.0005212405525149857	2	3837
1957	0.0005209690023443605	2	3839
1958	0.0008023535704733886	3	3739
1959	0.0010484927916120576	4	3815
1960	0.0010596026490066225	4	3775
1961	0.004078857919782461	18	4413
1962	0.0021598272138228943	9	4167
1963	0.0024001745581496837	11	4583
1964	0.003003003003003003	15	4995
1965	0.00260950605778192	14	5365
1966	0.0029038112522686023	16	5510
1967	0.0026605179141539555	15	5638
1968	0.001671681711802073	10	5982
1969	0.0017259233690024164	10	5794
1970	0.003194888178913738	19	5947
1971	0.0033945686900958465	17	5008
1972	0.0022650056625141564	14	6181
1973	0.002364864864864865	14	5920
1974	0.0036224976167778837	19	5245
1975	0.0032225579053373615	16	4965
1976	0.004084808403034429	21	5141
1977	0.0016669753658084831	9	5399
1978	0.0039790197142340385	22	5529
1979	0.002652017427543095	14	5279
1980	0.002029520295202952	11	5420
1981	0.0035653968849690375	19	5329
1982	0.0018800526414739613	10	5319
1983	0.002838221381267739	15	5285
1984	0.0018782870022539444	10	5324
1985	0.002274715660542432	13	5715
1986	0.002699575780948708	14	5186
1987	0.0038398244651673065	21	5469
1988	0.002723806065008171	15	5507
1989	0.0024407252440725243	14	5736
1990	0.0019298245614035089	11	5700
1991	0.0030555084026481073	18	5891
1992	0.00117096018735363	7	5978
1993	0.0033562678301728476	20	5959
1994	0.002487974788522143	15	6029
1995	0.0020233463035019454	13	6425
1996	0.0027243832299076736	18	6607
1997	0.0024078533061678087	13	5399
1998	0.0030328094844223876	11	3627
1999	0.004810413129598189	34	7068
2000	0.005958171206225681	49	8224
2001	0.006769408036871669	47	6943
2002	0.005369127516778523	28	5215
2003	0.006946373992775771	50	7198
2004	0.005387608500448967	36	6682
2005	0.003409090909090909	21	6160
2006	0.00547550432276657	19	3470
2007	0.007622677465459742	16	2099
2008	0.004311893639956881	48	11132
2009	0.006436233611442193	108	16780
2010	0.006698751300728408	103	15376
2011	0.0055147058823529415	81	14688
2012	0.0077895619869375035	130	16689
2013	0.005886336406730218	113	19197
