year	portion	word_count	total_count
1945	0	0	276
1946	0.0006605019815059445	1	1514
1947	0.0030211480362537764	5	1655
1948	0.001488095238095238	3	2016
1949	0	0	2502
1950	0.0032455824017309774	9	2773
1951	0.0010657193605683837	3	2815
1952	0.0013726835964310226	4	2914
1953	0.0013188262446422684	4	3033
1954	0.00184218606079214	6	3257
1955	0.004413291796469367	17	3852
1956	0.0036486838676048996	14	3837
1957	0.003386298515238343	13	3839
1958	0.0021396095212623694	8	3739
1959	0.0010484927916120576	4	3815
1960	0.003443708609271523	13	3775
1961	0.009064128710627692	40	4413
1962	0.007439404847612191	31	4167
1963	0.007636919048658084	35	4583
1964	0.007007007007007007	35	4995
1965	0.00782851817334576	42	5365
1966	0.006715063520871143	37	5510
1967	0.008158921603405462	46	5638
1968	0.008525576730190571	51	5982
1969	0.008802209181912324	51	5794
1970	0.00790314444257609	47	5947
1971	0.008586261980830671	43	5008
1972	0.007765733700048536	48	6181
1973	0.009290540540540541	55	5920
1974	0.00915157292659676	48	5245
1975	0.010070493454179255	50	4965
1976	0.014005057381832327	72	5141
1977	0.007408779403593258	40	5399
1978	0.009224091155724362	51	5529
1979	0.008903201363894678	47	5279
1980	0.006642066420664207	36	5420
1981	0.006755488834678176	36	5329
1982	0.007896221094190638	42	5319
1983	0.007568590350047304	40	5285
1984	0.006386175807663411	34	5324
1985	0.008048993875765529	46	5715
1986	0.0063632857693790975	33	5186
1987	0.009325287986834888	51	5469
1988	0.005447612130016342	30	5507
1989	0.0041841004184100415	24	5736
1990	0.005263157894736842	30	5700
1991	0.0057715158716686475	34	5891
1992	0.005687520910003346	34	5978
1993	0.0058734687028024835	35	5959
1994	0.006468734450157572	39	6029
1995	0.004669260700389105	30	6425
1996	0.0066596034508854245	44	6607
1997	0.005741804037784775	31	5399
1998	0.006892748828232699	25	3627
1999	0.009620826259196379	68	7068
2000	0.008511673151750972	70	8224
2001	0.00892985741034135	62	6943
2002	0.012655800575263663	66	5215
2003	0.01125312586829675	81	7198
2004	0.007033822208919485	47	6682
2005	0.009902597402597402	61	6160
2006	0.010086455331412104	35	3470
2007	0.008099094807050978	17	2099
2008	0.007725476104922745	86	11132
2009	0.011978545887961859	201	16780
2010	0.012747138397502602	196	15376
2011	0.011233660130718954	165	14688
2012	0.011145065612079813	186	16689
2013	0.009741105381049123	187	19197
