year	portion	word_count	total_count
1945	0	0	276
1946	0.0006605019815059445	1	1514
1947	0.0006042296072507553	1	1655
1948	0.000496031746031746	1	2016
1949	0.0007993605115907274	2	2502
1950	0.0018031013342949874	5	2773
1951	0.0007104795737122557	2	2815
1952	0.0013726835964310226	4	2914
1953	0.0016485328058028356	5	3033
1954	0.0006140620202640467	2	3257
1955	0.0005192107995846313	2	3852
1956	0.0007818608287724785	3	3837
1957	0.001041938004688721	4	3839
1958	0.001337255950788981	5	3739
1959	0.0002621231979030144	1	3815
1960	0.0010596026490066225	4	3775
1961	0.0009064128710627691	4	4413
1962	0.0007199424046076314	3	4167
1963	0.0004363953742090334	2	4583
1964	0.0006006006006006006	3	4995
1965	0.00130475302889096	7	5365
1966	0.0012704174228675136	7	5510
1967	0.000709471443774388	4	5638
1968	0.0010030090270812437	6	5982
1969	0.0012081463583016915	7	5794
1970	0.0015133680847486128	9	5947
1971	0.001597444089456869	8	5008
1972	0.000970716712506067	6	6181
1973	0.0013513513513513514	8	5920
1974	0.001143946615824595	6	5245
1975	0.0010070493454179255	5	4965
1976	0.001750632172729041	9	5141
1977	0.0016669753658084831	9	5399
1978	0.0014469162597214686	8	5529
1979	0.0005682894487592347	3	5279
1980	0.002214022140221402	12	5420
1981	0.0020641771439294425	11	5329
1982	0.0037601052829479226	20	5319
1983	0.001892147587511826	10	5285
1984	0.0031930879038317055	17	5324
1985	0.002099737532808399	12	5715
1986	0.002699575780948708	14	5186
1987	0.0032912781130005485	18	5469
1988	0.003086980207009261	17	5507
1989	0.0041841004184100415	24	5736
1990	0.002456140350877193	14	5700
1991	0.003734510269903242	22	5891
1992	0.003011040481766477	18	5978
1993	0.0028528276556469205	17	5959
1994	0.0023221098026206667	14	6029
1995	0.0032684824902723736	21	6425
1996	0.002875737853791433	19	6607
1997	0.0016669753658084831	9	5399
1998	0.0008271298593879239	3	3627
1999	0.001697792869269949	12	7068
2000	0.002188715953307393	18	8224
2001	0.002880599164626242	20	6943
2002	0.0013422818791946308	7	5215
2003	0.0016671297582661851	12	7198
2004	0.0016462137084705178	11	6682
2005	0.0022727272727272726	14	6160
2006	0.00028818443804034583	1	3470
2007	0.0033349213911386373	7	2099
2008	0.0008084800574919152	9	11132
2009	0.0008939213349225268	15	16780
2010	0.0011056191467221643	17	15376
2011	0.0012254901960784314	18	14688
2012	0.001258313859428366	21	16689
2013	0.0010418294525186228	20	19197
