year	portion	word_count	total_count
1945	0	0	276
1946	0.001321003963011889	2	1514
1947	0	0	1655
1948	0	0	2016
1949	0.0003996802557953637	1	2502
1950	0.0003606202668589975	1	2773
1951	0	0	2815
1952	0.00034317089910775565	1	2914
1953	0.0003297065611605671	1	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0.0005209690023443605	2	3839
1958	0.0002674511901577962	1	3739
1959	0	0	3815
1960	0.00026490066225165563	1	3775
1961	0.00045320643553138455	2	4413
1962	0	0	4167
1963	0	0	4583
1964	0.0008008008008008008	4	4995
1965	0.0001863932898415657	1	5365
1966	0.000544464609800363	3	5510
1967	0.000177367860943597	1	5638
1968	0.00016716817118020728	1	5982
1969	0.0005177770107007249	3	5794
1970	0.00033630401883302503	2	5947
1971	0.0007987220447284345	4	5008
1972	0.0006471444750040447	4	6181
1973	0.00016891891891891893	1	5920
1974	0	0	5245
1975	0	0	4965
1976	0	0	5141
1977	0	0	5399
1978	0.0005425935973955507	3	5529
1979	0.00037885963250615644	2	5279
1980	0.0007380073800738007	4	5420
1981	0.001688872208669544	9	5329
1982	0.0005640157924421884	3	5319
1983	0.0011352885525070956	6	5285
1984	0.0005634861006761833	3	5324
1985	0.0005249343832020997	3	5715
1986	0.001349787890474354	7	5186
1987	0.0014627902724446882	8	5469
1988	0.000726348284002179	4	5507
1989	0.0003486750348675035	2	5736
1990	0.0012280701754385965	7	5700
1991	0.0008487523340689187	5	5891
1992	0.0005018400802944129	3	5978
1993	0.0003356267830172848	2	5959
1994	0.000829324929507381	5	6029
1995	0.000622568093385214	4	6425
1996	0.0006054184955350386	4	6607
1997	0.0007408779403593258	4	5399
1998	0	0	3627
1999	0.0001414827391058291	1	7068
2000	0.0008511673151750973	7	8224
2001	0.0007201497911565605	5	6943
2002	0.0003835091083413231	2	5215
2003	0.0006946373992775772	5	7198
2004	0.000598623166716552	4	6682
2005	0.0003246753246753247	2	6160
2006	0.0008645533141210375	3	3470
2007	0.0014292520247737017	3	2099
2008	0.0005389867049946101	6	11132
2009	0.0006555423122765197	11	16780
2010	0.0005202913631633715	8	15376
2011	0.00034041394335511985	5	14688
2012	0.00029959853795913474	5	16689
2013	0.00036464030838151797	7	19197
