year	portion	word_count	total_count
1945	0.0036231884057971015	1	276
1946	0.003963011889035667	6	1514
1947	0	0	1655
1948	0.001488095238095238	3	2016
1949	0.0007993605115907274	2	2502
1950	0.00288496213487198	8	2773
1951	0.00497335701598579	14	2815
1952	0.0061770761839396015	18	2914
1953	0.00560501153972964	17	3033
1954	0.007675775253300584	25	3257
1955	0.009865005192107996	38	3852
1956	0.008861089392754757	34	3837
1957	0.008595988538681949	33	3839
1958	0.010965498796469644	41	3739
1959	0.007339449541284404	28	3815
1960	0.012450331125827815	47	3775
1961	0.014276002719238613	63	4413
1962	0.014638828893688505	61	4167
1963	0.011564477416539385	53	4583
1964	0.012812812812812813	64	4995
1965	0.013793103448275862	74	5365
1966	0.015245009074410164	84	5510
1967	0.014189428875487761	80	5638
1968	0.01922433968572384	115	5982
1969	0.02347255781843286	136	5794
1970	0.021691609214730116	129	5947
1971	0.022364217252396165	112	5008
1972	0.027665426306422908	171	6181
1973	0.02668918918918919	158	5920
1974	0.027264061010486177	143	5245
1975	0.024974823766364552	124	4965
1976	0.028788173507099786	148	5141
1977	0.02167067975551028	117	5399
1978	0.026587086272381984	147	5529
1979	0.024247016480394012	128	5279
1980	0.026752767527675275	145	5420
1981	0.025520735597673108	136	5329
1982	0.027260763301372438	145	5319
1983	0.02043519394512772	108	5285
1984	0.030991735537190084	165	5324
1985	0.02922134733158355	167	5715
1986	0.031623602005399154	164	5186
1987	0.024318888279392943	133	5469
1988	0.02978027964408934	164	5507
1989	0.031555090655509065	181	5736
1990	0.027543859649122808	157	5700
1991	0.02546257002206756	150	5891
1992	0.028604884576781533	171	5978
1993	0.026178889075348214	156	5959
1994	0.035329241997014434	213	6029
1995	0.029105058365758756	187	6425
1996	0.026335704555774178	174	6607
1997	0.025189849972217078	136	5399
1998	0.022056796250344637	80	3627
1999	0.02504244482173175	177	7068
2000	0.027237354085603113	224	8224
2001	0.025493302606942245	177	6943
2002	0.023969319271332695	125	5215
2003	0.026257293692692415	189	7198
2004	0.021101466626758457	141	6682
2005	0.02077922077922078	128	6160
2006	0.024495677233429394	85	3470
2007	0.014292520247737018	30	2099
2008	0.018235716852317643	203	11132
2009	0.02526817640047676	424	16780
2010	0.02490894901144641	383	15376
2011	0.0230119825708061	338	14688
2012	0.02336868596081251	390	16689
2013	0.020263582851487213	389	19197
