year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0.0002621231979030144	1	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0	0	5638
1968	0	0	5982
1969	0	0	5794
1970	0	0	5947
1971	0	0	5008
1972	0	0	6181
1973	0	0	5920
1974	0.00019065776930409913	1	5245
1975	0.0004028197381671702	2	4965
1976	0	0	5141
1977	0	0	5399
1978	0.00018086453246518358	1	5529
1979	0.0005682894487592347	3	5279
1980	0.0005535055350553505	3	5420
1981	0.0009382623381497466	5	5329
1982	0.00037601052829479227	2	5319
1983	0.0003784295175023652	2	5285
1984	0.0007513148009015778	4	5324
1985	0.00034995625546806647	2	5715
1986	0.002699575780948708	14	5186
1987	0.0012799414883891023	7	5469
1988	0.0005447612130016343	3	5507
1989	0.0005230125523012552	3	5736
1990	0.0012280701754385965	7	5700
1991	0.0010185028008827025	6	5891
1992	0.00117096018735363	7	5978
1993	0.0008390669575432119	5	5959
1994	0.0009951899154088573	6	6029
1995	0.000622568093385214	4	6425
1996	0.0004540638716512789	3	6607
1997	0.0012965363956288201	7	5399
1998	0.0011028398125172319	4	3627
1999	0.0005659309564233164	4	7068
2000	0.0013375486381322957	11	8224
2001	0.001440299582313121	10	6943
2002	0.0013422818791946308	7	5215
2003	0.001944984717977216	14	7198
2004	0.0010475905417539658	7	6682
2005	0.0008116883116883117	5	6160
2006	0.0025936599423631124	9	3470
2007	0.0009528346831824678	2	2099
2008	0.0008084800574919152	9	11132
2009	0.0006555423122765197	11	16780
2010	0.0005202913631633715	8	15376
2011	0.0002723311546840959	4	14688
2012	0.00041943795314278864	7	16689
2013	0.0007292806167630359	14	19197
