year	portion	word_count	total_count
1945	0.03260869565217391	9	276
1946	0.02443857331571995	37	1514
1947	0.036858006042296075	61	1655
1948	0.03521825396825397	71	2016
1949	0.022781774580335732	57	2502
1950	0.030292102416155788	84	2773
1951	0.03197158081705151	90	2815
1952	0.031228551818805766	91	2914
1953	0.02835476425980877	86	3033
1954	0.031010132023334358	101	3257
1955	0.02284527518172378	88	3852
1956	0.023195204586916863	89	3837
1957	0.02969523313362855	114	3839
1958	0.026210216635464027	98	3739
1959	0.022280471821756225	85	3815
1960	0.031258278145695366	118	3775
1961	0.04418762746430999	195	4413
1962	0.045836333093352534	191	4167
1963	0.045166921230634954	207	4583
1964	0.04024024024024024	201	4995
1965	0.038397017707362535	206	5365
1966	0.039927404718693285	220	5510
1967	0.03689251507626818	208	5638
1968	0.03577398863256436	214	5982
1969	0.0443562305833621	257	5794
1970	0.037666050109298806	224	5947
1971	0.034145367412140575	171	5008
1972	0.03446044329396538	213	6181
1973	0.03783783783783784	224	5920
1974	0.037559580552907534	197	5245
1975	0.03867069486404834	192	4965
1976	0.038319393114180124	197	5141
1977	0.03630301907760696	196	5399
1978	0.03617290649303671	200	5529
1979	0.03542337563932563	187	5279
1980	0.032656826568265684	177	5420
1981	0.03096265715894164	165	5329
1982	0.028388794886256816	151	5319
1983	0.038410596026490065	203	5285
1984	0.03512396694214876	187	5324
1985	0.03867016622922135	221	5715
1986	0.0350944851523332	182	5186
1987	0.03419272261839459	187	5469
1988	0.03431995641910296	189	5507
1989	0.028417015341701535	163	5736
1990	0.03263157894736842	186	5700
1991	0.03089458496010864	182	5891
1992	0.0312813650050184	187	5978
1993	0.029870783688538346	178	5959
1994	0.029855697462265716	180	6029
1995	0.023346303501945526	150	6425
1996	0.026184349931890418	173	6607
1997	0.02018892387479163	109	5399
1998	0.018196856906534328	66	3627
1999	0.019100169779286927	135	7068
2000	0.02176556420233463	179	8224
2001	0.019444044361227136	135	6943
2002	0.01955896452540748	102	5215
2003	0.018894137260350097	136	7198
2004	0.01556420233463035	104	6682
2005	0.01948051948051948	120	6160
2006	0.018155619596541786	63	3470
2007	0.01953311100524059	41	2099
2008	0.01221703197987783	136	11132
2009	0.014779499404052444	248	16780
2010	0.01632414151925078	251	15376
2011	0.016748366013071895	246	14688
2012	0.01593864221942597	266	16689
2013	0.015002344116268168	288	19197
