year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0.00035523978685612787	1	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0.00023998080153587713	1	4167
1963	0	0	4583
1964	0	0	4995
1965	0.0001863932898415657	1	5365
1966	0.00018148820326678765	1	5510
1967	0.000177367860943597	1	5638
1968	0.00016716817118020728	1	5982
1969	0.00034518467380048324	2	5794
1970	0.00016815200941651252	1	5947
1971	0.00019968051118210862	1	5008
1972	0.0004853583562530335	3	6181
1973	0.0005067567567567568	3	5920
1974	0.00019065776930409913	1	5245
1975	0.0008056394763343404	4	4965
1976	0.000583544057576347	3	5141
1977	0.0005556584552694943	3	5399
1978	0.0005425935973955507	3	5529
1979	0.00037885963250615644	2	5279
1980	0.0009225092250922509	5	5420
1981	0.0013135672734096453	7	5329
1982	0.00018800526414739614	1	5319
1983	0.0001892147587511826	1	5285
1984	0.0007513148009015778	4	5324
1985	0.0006999125109361329	4	5715
1986	0.0009641342074816814	5	5186
1987	0.0005485463521667581	3	5469
1988	0.0009079353550027238	5	5507
1989	0.0003486750348675035	2	5736
1990	0.0014035087719298245	8	5700
1991	0.0010185028008827025	6	5891
1992	0.0005018400802944129	3	5978
1993	0.0011746937405604967	7	5959
1994	0.0004975949577044286	3	6029
1995	0.0004669260700389105	3	6425
1996	0.0006054184955350386	4	6607
1997	0.00018521948508983145	1	5399
1998	0.0005514199062586159	2	3627
1999	0.0008488964346349745	6	7068
2000	0.0012159533073929961	10	8224
2001	0.0007201497911565605	5	6943
2002	0.0013422818791946308	7	5215
2003	0.0006946373992775772	5	7198
2004	0.0004489673750374139	3	6682
2005	0.0006493506493506494	4	6160
2006	0.0008645533141210375	3	3470
2007	0.0009528346831824678	2	2099
2008	0.0006288178224937119	7	11132
2009	0.0007151370679380214	12	16780
2010	0.0007154006243496358	11	15376
2011	0.0005446623093681918	8	14688
2012	0.0008388759062855773	14	16689
2013	0.0006250976715111736	12	19197
