year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0.000721240533717995	2	2773
1951	0.00035523978685612787	1	2815
1952	0.00034317089910775565	1	2914
1953	0.0003297065611605671	1	3033
1954	0.0006140620202640467	2	3257
1955	0.000778816199376947	3	3852
1956	0.00026062027625749283	1	3837
1957	0.001041938004688721	4	3839
1958	0.0005349023803155924	2	3739
1959	0.001834862385321101	7	3815
1960	0.0015894039735099338	6	3775
1961	0.002492635395422615	11	4413
1962	0.00335973122150228	14	4167
1963	0.0039275583678813	18	4583
1964	0.004404404404404405	22	4995
1965	0.005778191985088537	31	5365
1966	0.0023593466424682396	13	5510
1967	0.0031926214969847464	18	5638
1968	0.003009027081243731	18	5982
1969	0.002761477390403866	16	5794
1970	0.0035311921977467632	21	5947
1971	0.004193290734824281	21	5008
1972	0.003235722375020223	20	6181
1973	0.002702702702702703	16	5920
1974	0.0038131553860819827	20	5245
1975	0.0030211480362537764	15	4965
1976	0.0031122349737405172	16	5141
1977	0.004445267642155954	24	5399
1978	0.003074697051908121	17	5529
1979	0.002652017427543095	14	5279
1980	0.002214022140221402	12	5420
1981	0.0037530493525989865	20	5329
1982	0.0026320736980635457	14	5319
1983	0.0024597918637653737	13	5285
1984	0.0033809166040570998	18	5324
1985	0.0019247594050743656	11	5715
1986	0.002506748939452372	13	5186
1987	0.004022673249222892	22	5469
1988	0.002542218994007627	14	5507
1989	0.0017433751743375174	10	5736
1990	0.002456140350877193	14	5700
1991	0.002546257002206756	15	5891
1992	0.0025092004014720644	15	5978
1993	0.0010068803490518544	6	5959
1994	0.0011610549013103333	7	6029
1995	0.0023346303501945525	15	6425
1996	0.002573028606023914	17	6607
1997	0.0018521948508983144	10	5399
1998	0.0030328094844223876	11	3627
1999	0.00311262026032824	22	7068
2000	0.0029182879377431907	24	8224
2001	0.002160449373469682	15	6943
2002	0.0019175455417066154	10	5215
2003	0.001944984717977216	14	7198
2004	0.0017958695001496557	12	6682
2005	0.002922077922077922	18	6160
2006	0.002881844380403458	10	3470
2007	0.0014292520247737017	3	2099
2008	0.0008983111749910168	10	11132
2009	0.0013706793802145411	23	16780
2010	0.0020161290322580645	31	15376
2011	0.0010893246187363835	16	14688
2012	0.0010785547366528852	18	16689
2013	0.0012501953430223472	24	19197
