year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0.00026062027625749283	1	3837
1957	0.0005209690023443605	2	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0.00022660321776569228	1	4413
1962	0.0014398848092152627	6	4167
1963	0.0010909884355225835	5	4583
1964	0.0008008008008008008	4	4995
1965	0.0001863932898415657	1	5365
1966	0.00018148820326678765	1	5510
1967	0	0	5638
1968	0.00033433634236041456	2	5982
1969	0.0008629616845012082	5	5794
1970	0.0010089120564990752	6	5947
1971	0.0013977635782747603	7	5008
1972	0.0012942889500080893	8	6181
1973	0.0013513513513513514	8	5920
1974	0.0009532888465204957	5	5245
1975	0.0008056394763343404	4	4965
1976	0.0009725734292939117	5	5141
1977	0.0012965363956288201	7	5399
1978	0.0009043226623259179	5	5529
1979	0.0005682894487592347	3	5279
1980	0.00018450184501845018	1	5420
1981	0.00018765246762994934	1	5329
1982	0.00037601052829479227	2	5319
1983	0.0001892147587511826	1	5285
1984	0.00018782870022539445	1	5324
1985	0.0005249343832020997	3	5715
1986	0.0005784805244890089	3	5186
1987	0.00018284878405558602	1	5469
1988	0.000726348284002179	4	5507
1989	0.000697350069735007	4	5736
1990	0.0005263157894736842	3	5700
1991	0.0005092514004413513	3	5891
1992	0.0018400802944128472	11	5978
1993	0.0006712535660345696	4	5959
1994	0.0003317299718029524	2	6029
1995	0.0010894941634241246	7	6425
1996	0.00015135462388375965	1	6607
1997	0.0005556584552694943	3	5399
1998	0.00027570995312930797	1	3627
1999	0.00042444821731748726	3	7068
2000	0.0012159533073929961	10	8224
2001	0.0007201497911565605	5	6943
2002	0.0005752636625119846	3	5215
2003	0.0008335648791330926	6	7198
2004	0.000598623166716552	4	6682
2005	0.0006493506493506494	4	6160
2006	0.0005763688760806917	2	3470
2007	0.0014292520247737017	3	2099
2008	0.0008084800574919152	9	11132
2009	0.0006555423122765197	11	16780
2010	0.0001951092611862643	3	15376
2011	0.0005446623093681918	8	14688
2012	0.0008987956138774043	15	16689
2013	0.0006250976715111736	12	19197
