year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0.0003606202668589975	1	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0.0002181976871045167	1	4583
1964	0	0	4995
1965	0	0	5365
1966	0.0009074410163339383	5	5510
1967	0	0	5638
1968	0.00016716817118020728	1	5982
1969	0.00017259233690024162	1	5794
1970	0.00033630401883302503	2	5947
1971	0.00019968051118210862	1	5008
1972	0.00032357223750202233	2	6181
1973	0.00033783783783783786	2	5920
1974	0.0009532888465204957	5	5245
1975	0.0004028197381671702	2	4965
1976	0.000583544057576347	3	5141
1977	0.0003704389701796629	2	5399
1978	0	0	5529
1979	0	0	5279
1980	0.00036900369003690036	2	5420
1981	0.0007506098705197974	4	5329
1982	0.0005640157924421884	3	5319
1983	0.0005676442762535478	3	5285
1984	0.0003756574004507889	2	5324
1985	0.00034995625546806647	2	5715
1986	0.0007713073659853452	4	5186
1987	0.0007313951362223441	4	5469
1988	0.0003631741420010895	2	5507
1989	0.0003486750348675035	2	5736
1990	0.0007017543859649122	4	5700
1991	0.0010185028008827025	6	5891
1992	0.0008364001338240214	5	5978
1993	0.0008390669575432119	5	5959
1994	0.0011610549013103333	7	6029
1995	0.0004669260700389105	3	6425
1996	0.0006054184955350386	4	6607
1997	0.0009260974254491572	5	5399
1998	0.00027570995312930797	1	3627
1999	0.00042444821731748726	3	7068
2000	0.00036478599221789884	3	8224
2001	0.00014402995823131211	1	6943
2002	0	0	5215
2003	0.0002778549597110308	2	7198
2004	0.000299311583358276	2	6682
2005	0.0003246753246753247	2	6160
2006	0	0	3470
2007	0	0	2099
2008	0.00017966223499820338	2	11132
2009	0.00017878426698450536	3	16780
2010	0.0003902185223725286	6	15376
2011	0	0	14688
2012	0.00005991970759182695	1	16689
2013	0.0005209147262593114	10	19197
