year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0.0002181976871045167	1	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0.000354735721887194	2	5638
1968	0.00016716817118020728	1	5982
1969	0	0	5794
1970	0.00016815200941651252	1	5947
1971	0	0	5008
1972	0	0	6181
1973	0	0	5920
1974	0.00019065776930409913	1	5245
1975	0.0004028197381671702	2	4965
1976	0	0	5141
1977	0.0003704389701796629	2	5399
1978	0	0	5529
1979	0	0	5279
1980	0.00018450184501845018	1	5420
1981	0	0	5329
1982	0.00018800526414739614	1	5319
1983	0	0	5285
1984	0.00018782870022539445	1	5324
1985	0.00034995625546806647	2	5715
1986	0.0003856536829926726	2	5186
1987	0.00036569756811117204	2	5469
1988	0.00018158707100054475	1	5507
1989	0.0010460251046025104	6	5736
1990	0.0005263157894736842	3	5700
1991	0.00016975046681378373	1	5891
1992	0.0010036801605888257	6	5978
1993	0.0003356267830172848	2	5959
1994	0.0004975949577044286	3	6029
1995	0.0010894941634241246	7	6425
1996	0.002875737853791433	19	6607
1997	0.0003704389701796629	2	5399
1998	0.0005514199062586159	2	3627
1999	0.0002829654782116582	2	7068
2000	0.0008511673151750973	7	8224
2001	0.0008641797493878727	6	6943
2002	0.0007670182166826462	4	5215
2003	0.0016671297582661851	12	7198
2004	0.001197246333433104	8	6682
2005	0.0017857142857142857	11	6160
2006	0.0005763688760806917	2	3470
2007	0.0014292520247737017	3	2099
2008	0.0004491555874955084	5	11132
2009	0.000834326579261025	14	16780
2010	0.00045525494276795007	7	15376
2011	0.0004084967320261438	6	14688
2012	0.0007789561986937504	13	16689
2013	0.0008334635620148982	16	19197
