year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0	0	5638
1968	0	0	5982
1969	0	0	5794
1970	0	0	5947
1971	0	0	5008
1972	0	0	6181
1973	0	0	5920
1974	0	0	5245
1975	0	0	4965
1976	0	0	5141
1977	0	0	5399
1978	0	0	5529
1979	0	0	5279
1980	0	0	5420
1981	0.0007506098705197974	4	5329
1982	0.0018800526414739613	10	5319
1983	0.0020813623462630085	11	5285
1984	0.0016904583020285499	9	5324
1985	0.003499562554680665	20	5715
1986	0.0019282684149633628	10	5186
1987	0.003474126897056135	19	5469
1988	0.0012711094970038134	7	5507
1989	0.0020920502092050207	12	5736
1990	0.0015789473684210526	9	5700
1991	0.002376506535392972	14	5891
1992	0.0015055202408832385	9	5978
1993	0.0006712535660345696	4	5959
1994	0.0013269198872118096	8	6029
1995	0.001867704280155642	12	6425
1996	0.0018162554866051157	12	6607
1997	0.0016669753658084831	9	5399
1998	0.00027570995312930797	1	3627
1999	0.0008488964346349745	6	7068
2000	0.0018239299610894942	15	8224
2001	0.0010082097076191847	7	6943
2002	0.0013422818791946308	7	5215
2003	0.0006946373992775772	5	7198
2004	0.0004489673750374139	3	6682
2005	0.0003246753246753247	2	6160
2006	0.00028818443804034583	1	3470
2007	0.0014292520247737017	3	2099
2008	0.00008983111749910169	1	11132
2009	0.00023837902264600716	4	16780
2010	0.0001951092611862643	3	15376
2011	0.0002042483660130719	3	14688
2012	0.00005991970759182695	1	16689
2013	0.00020836589050372454	4	19197
