year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0.00023998080153587713	1	4167
1963	0	0	4583
1964	0.0004004004004004004	2	4995
1965	0.0001863932898415657	1	5365
1966	0.00018148820326678765	1	5510
1967	0.000532103582830791	3	5638
1968	0.00016716817118020728	1	5982
1969	0.00034518467380048324	2	5794
1970	0.0005044560282495376	3	5947
1971	0.00039936102236421724	2	5008
1972	0.0006471444750040447	4	6181
1973	0.0010135135135135136	6	5920
1974	0.001525262154432793	8	5245
1975	0.0006042296072507553	3	4965
1976	0	0	5141
1977	0.00018521948508983145	1	5399
1978	0.0005425935973955507	3	5529
1979	0.0005682894487592347	3	5279
1980	0.0007380073800738007	4	5420
1981	0.0007506098705197974	4	5329
1982	0.0007520210565895845	4	5319
1983	0.001892147587511826	10	5285
1984	0.001314800901577761	7	5324
1985	0.0017497812773403325	10	5715
1986	0.002699575780948708	14	5186
1987	0.0014627902724446882	8	5469
1988	0.0012711094970038134	7	5507
1989	0.0020920502092050207	12	5736
1990	0.0008771929824561404	5	5700
1991	0.0035647598030894585	21	5891
1992	0.0025092004014720644	15	5978
1993	0.0008390669575432119	5	5959
1994	0.0028197047603250956	17	6029
1995	0.0014007782101167316	9	6425
1996	0.0015135462388375966	10	6607
1997	0.0024078533061678087	13	5399
1998	0.0016542597187758478	6	3627
1999	0.0011318619128466328	8	7068
2000	0.002188715953307393	18	8224
2001	0.0017283594987757454	12	6943
2002	0.0017257909875359539	9	5215
2003	0.0015282022784106697	11	7198
2004	0.001197246333433104	8	6682
2005	0.0008116883116883117	5	6160
2006	0.0011527377521613833	4	3470
2007	0.0004764173415912339	1	2099
2008	0.0006288178224937119	7	11132
2009	0.0009535160905840286	16	16780
2010	0.0005202913631633715	8	15376
2011	0.0016339869281045752	24	14688
2012	0.0014979926897956738	25	16689
2013	0.0009897379798926916	19	19197
