year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0.0004004004004004004	2	4995
1965	0.0001863932898415657	1	5365
1966	0.00018148820326678765	1	5510
1967	0.000709471443774388	4	5638
1968	0	0	5982
1969	0.0005177770107007249	3	5794
1970	0.0006726080376660501	4	5947
1971	0.00019968051118210862	1	5008
1972	0	0	6181
1973	0.00033783783783783786	2	5920
1974	0.0005719733079122975	3	5245
1975	0.0002014098690835851	1	4965
1976	0.00038902937171756465	2	5141
1977	0.0003704389701796629	2	5399
1978	0.00018086453246518358	1	5529
1979	0	0	5279
1980	0	0	5420
1981	0.0009382623381497466	5	5329
1982	0.0009400263207369807	5	5319
1983	0.0011352885525070956	6	5285
1984	0.0007513148009015778	4	5324
1985	0.0006999125109361329	4	5715
1986	0.0009641342074816814	5	5186
1987	0.0010970927043335162	6	5469
1988	0.0003631741420010895	2	5507
1989	0.0017433751743375174	10	5736
1990	0.0015789473684210526	9	5700
1991	0.0010185028008827025	6	5891
1992	0.0010036801605888257	6	5978
1993	0.0010068803490518544	6	5959
1994	0.0009951899154088573	6	6029
1995	0.000933852140077821	6	6425
1996	0.0010594823671863176	7	6607
1997	0.0009260974254491572	5	5399
1998	0.0011028398125172319	4	3627
1999	0.0014148273910582908	10	7068
2000	0.0013375486381322957	11	8224
2001	0.001152239665850497	8	6943
2002	0.0011505273250239693	6	5215
2003	0.0006946373992775772	5	7198
2004	0.001197246333433104	8	6682
2005	0.0011363636363636363	7	6160
2006	0.0025936599423631124	9	3470
2007	0.0023820867079561697	5	2099
2008	0.0010779734099892202	12	11132
2009	0.0006555423122765197	11	16780
2010	0.0013657648283038502	21	15376
2011	0.0011574074074074073	17	14688
2012	0.001258313859428366	21	16689
2013	0.0008334635620148982	16	19197
