year	portion	word_count	total_count
1945	0	0	276
1946	0.0006605019815059445	1	1514
1947	0.0018126888217522659	3	1655
1948	0.001488095238095238	3	2016
1949	0.0003996802557953637	1	2502
1950	0.0003606202668589975	1	2773
1951	0.0010657193605683837	3	2815
1952	0.00034317089910775565	1	2914
1953	0	0	3033
1954	0.00030703101013202335	1	3257
1955	0.0005192107995846313	2	3852
1956	0.0005212405525149857	2	3837
1957	0.001041938004688721	4	3839
1958	0.0016047071409467772	6	3739
1959	0.0005242463958060288	2	3815
1960	0.0013245033112582781	5	3775
1961	0.00022660321776569228	1	4413
1962	0.0011999040076793857	5	4167
1963	0.0017455814968361336	8	4583
1964	0.0024024024024024023	12	4995
1965	0.0020503261882572226	11	5365
1966	0.0014519056261343012	8	5510
1967	0.0019510464703795672	11	5638
1968	0.0018388498829822802	11	5982
1969	0.002761477390403866	16	5794
1970	0.003194888178913738	19	5947
1971	0.003594249201277955	18	5008
1972	0.0037210807312732567	23	6181
1973	0.002027027027027027	12	5920
1974	0.0032411820781696856	17	5245
1975	0.0034239677744209466	17	4965
1976	0.0036957790313168646	19	5141
1977	0.002222633821077977	12	5399
1978	0.0039790197142340385	22	5529
1979	0.0043568857738207995	23	5279
1980	0.004797047970479705	26	5420
1981	0.0037530493525989865	20	5329
1982	0.0035721000188005266	19	5319
1983	0.004162724692526017	22	5285
1984	0.004883546205860256	26	5324
1985	0.003849518810148731	22	5715
1986	0.0036637099884303894	19	5186
1987	0.0036569756811117207	20	5469
1988	0.005084437988015254	28	5507
1989	0.0041841004184100415	24	5736
1990	0.004210526315789474	24	5700
1991	0.00407401120353081	24	5891
1992	0.004014720642355303	24	5978
1993	0.005034401745259272	30	5959
1994	0.006302869464256095	38	6029
1995	0.0056031128404669265	36	6425
1996	0.004691993340396549	31	6607
1997	0.0035191702167067978	19	5399
1998	0.0046870692031982355	17	3627
1999	0.003254102999434069	23	7068
2000	0.0047422178988326845	39	8224
2001	0.005185078496327236	36	6943
2002	0.005560882070949185	29	5215
2003	0.0066685190330647405	48	7198
2004	0.0037413947919784497	25	6682
2005	0.0066558441558441555	41	6160
2006	0.004899135446685879	17	3470
2007	0.004287756074321105	9	2099
2008	0.0038627380524613726	43	11132
2009	0.004112038140643624	69	16780
2010	0.004032258064516129	62	15376
2011	0.004493464052287581	66	14688
2012	0.00551261309844808	92	16689
2013	0.005469604625722769	105	19197
